watersystem_code,unit_basin_code,watersystem_name,source_files,source_paths,source_layers,source_input_feature_n,source_file_count,basin_id,basin_unit_id,source_vector_area_m2
830304,79,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,228,1,152,B_830304_79,1738775.0388544155
830304,8,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,92,1,153,B_830304_8,962243.9261615328
830304,80,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,533,1,154,B_830304_80,5526067.564039586
830304,82,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,647,1,155,B_830304_82,6422081.415070013
830304,83,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,255,1,156,B_830304_83,2346579.700735963
830304,86,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,815,1,157,B_830304_86,8340364.505236746
830304,87,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,249,1,158,B_830304_87,2602331.136716338
830304,88,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1181,1,159,B_830304_88,12329427.400984412
830304,9,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,131,1,160,B_830304_9,1369989.554927413
830304,96,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,161,B_830304_96,194.99403953560358
830304,98,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,202,1,162,B_830304_98,1417030.529207241
830305,1,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,788,1,163,B_830305_1,7545116.045191155
830305,10,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,433,1,164,B_830305_10,4531882.695681857
830305,100,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,256,1,165,B_830305_100,2672541.098817359
830305,101,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5338|W07_5339,1465,1,166,B_830305_101,15302187.737094974
830305,102,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5338|W07_5339,23,1,167,B_830305_102,46088.36486471814
830305,103,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5338|W07_5339,2624,1,168,B_830305_103,27254162.54297516
830305,105,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5338|W07_5339,635,1,169,B_830305_105,6620592.34719923
830305,108,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5338,21,1,170,B_830305_108,36360.98949264329
830305,11,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,6,1,171,B_830305_11,28461.652328894932
830305,12,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,530,1,172,B_830305_12,5546857.894679339
830305,13,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,536,1,173,B_830305_13,5137447.437934266
830305,14,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,2193,1,174,B_830305_14,22938191.383524135
830305,16,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,789,1,175,B_830305_16,8253575.985999462
830305,17,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1295,1,176,B_830305_17,12918389.494816758
830305,18,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,2880,1,177,B_830305_18,30125665.554609857
830305,19,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,2782,1,178,B_830305_19,28978977.42399025
830305,2,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,870,1,179,B_830305_2,8685146.979770359
830305,20,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1603,1,180,B_830305_20,16767335.001495868
830305,21,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,127,1,181,B_830305_21,1329067.5032653236
830305,22,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1387,1,182,B_830305_22,14470833.094585689
830305,23,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1223,1,183,B_830305_23,12800622.042992072
830305,24,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,430,1,184,B_830305_24,4499715.623971223
830305,25,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1131,1,185,B_830305_25,11830975.075946711
830305,26,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,597,1,186,B_830305_26,6243200.234582182
830305,27,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1237,1,187,B_830305_27,12944039.496830614
830305,28,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,389,1,188,B_830305_28,4072741.9422509307
830305,29,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,99,1,189,B_830305_29,1035588.9145294661
830305,3,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,219,1,190,B_830305_3,2276654.3480453943
830305,30,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,948,1,191,B_830305_30,9924239.956741367
830305,31,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,263,1,192,B_830305_31,2752095.4215346817
830305,32,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,305,1,193,B_830305_32,3192224.1234515617
830305,33,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1359,1,194,B_830305_33,14212788.970721772
830305,34,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,4468,1,195,B_830305_34,46677827.331910454
830305,35,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1966,1,196,B_830305_35,20564340.29978244
830305,36,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,570,1,197,B_830305_36,5966727.755366282
830305,37,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,570,1,198,B_830305_37,5964231.859992022
830305,38,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,383,1,199,B_830305_38,4008173.907511304
830305,39,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,279,1,200,B_830305_39,2917122.9263878623
830305,4,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,98,1,201,B_830305_4,758245.7105606667
830305,40,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1062,1,202,B_830305_40,11116674.0845673
830305,41,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,540,1,203,B_830305_41,5648622.261289586
830305,42,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1046,1,204,B_830305_42,10932574.478799473
830305,43,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1758,1,205,B_830305_43,18381230.63201796
830305,44,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,973,1,206,B_830305_44,10176050.865867548
830305,45,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,348,1,207,B_830305_45,3636175.554380333
830305,46,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,3880,1,208,B_830305_46,40532462.20313883
830305,47,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,165,1,209,B_830305_47,1726397.2149858696
830305,48,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,918,1,210,B_830305_48,9607137.283523731
830305,49,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,469,1,211,B_830305_49,4906307.974796993
830305,5,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,469,1,212,B_830305_5,4909403.275213685
830305,50,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,173,1,213,B_830305_50,1808629.166694584
830305,51,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,132,1,214,B_830305_51,1379753.8805266547
830305,52,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,179,1,215,B_830305_52,1871227.3550079388
830305,53,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,59,1,216,B_830305_53,617164.7485472056
830305,54,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,985,1,217,B_830305_54,10212810.428055106
830305,55,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,354,1,218,B_830305_55,3699897.300770847
830305,56,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,622,1,219,B_830305_56,6501751.179729774
830305,57,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,248,1,220,B_830305_57,2591701.107163223
830305,58,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,710,1,221,B_830305_58,7426293.395769265
830305,59,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,229,1,222,B_830305_59,2392893.1718680225
830305,6,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,92,1,223,B_830305_6,955170.5080426119
830305,60,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,34,1,224,B_830305_60,355409.56152086105
830305,61,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,222,1,225,B_830305_61,2320199.7913346514
830305,62,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,554,1,226,B_830305_62,5792367.151407949
830305,63,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,436,1,227,B_830305_63,4556605.502007425
830305,64,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,478,1,228,B_830305_64,4996531.088864151
