landscape_unit_id,watersystem_code,watersystem_name,unit_basin_code,gsi_landform_class,available_area_m2,available_area_km2,available_share_known,available_share_basin,landform_coverage_ratio,resolution_m,source,selection_inference_ready
B_130000_5_LF_CLASS::台地・段丘,130000,,5,台地・段丘,4660000.0,4.66,0.5805117472656153,0.5805117472656153,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_5_LF_CLASS::砂州・砂丘,130000,,5,砂州・砂丘,516700.0,0.5167,0.06436704287814236,0.06436704287814236,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_5_LF_CLASS::凹地・浅い谷,130000,,5,凹地・浅い谷,45600.0,0.0456,0.0056805441363330595,0.0056805441363330595,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_5_LF_CLASS::氾濫平野・海岸平野,130000,,5,氾濫平野・海岸平野,1533800.0,1.5338,0.19107058325236068,0.19107058325236068,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_5_LF_CLASS::後背低地・湿地,130000,,5,後背低地・湿地,443400.0,0.4434,0.05523581732565962,0.05523581732565962,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_5_LF_CLASS::水部,130000,,5,水部,133200.0,0.1332,0.016593168398236043,0.016593168398236043,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_6_LF_CLASS::山地斜面等,130000,,6,山地斜面等,1275300.0,1.2753,0.17855842737531852,0.17855842737531852,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_6_LF_CLASS::台地・段丘,130000,,6,台地・段丘,4116100.0,4.1161,0.5763070202458627,0.5763070202458627,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_6_LF_CLASS::山麓堆積地形,130000,,6,山麓堆積地形,9500.0,0.0095,0.0013301223712581557,0.0013301223712581557,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_6_LF_CLASS::凹地・浅い谷,130000,,6,凹地・浅い谷,386900.0,0.3869,0.054170983730503205,0.054170983730503205,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
