scheme,group_id,group_label,activity_domain,phase_pair,phase_pair_order,transition,n_places,active_total_places,active_transition_composition
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Pa->Jo,1,new,1,1,1
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Ya->Ko,3,continue,2,6,0.3333333333333333
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Ya->Ko,3,drop,0,6,0
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Ya->Ko,3,new,4,6,0.6666666666666666
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,Jo->Ya,2,continue,0,1,0
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,Jo->Ya,2,drop,0,1,0
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,Jo->Ya,2,new,1,1,1
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,Ya->Ko,3,continue,0,1,0
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,Ya->Ko,3,drop,1,1,1
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,Ya->Ko,3,new,0,1,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,He->Me,6,continue,0,1,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,He->Me,6,drop,1,1,1
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,He->Me,6,new,0,1,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Jo->Ya,2,continue,0,1,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Jo->Ya,2,drop,0,1,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Jo->Ya,2,new,1,1,1
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Ko->Na,4,continue,1,1,1
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Ko->Na,4,drop,0,1,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Ko->Na,4,new,0,1,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Na->He,5,continue,1,1,1
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Na->He,5,drop,0,1,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Na->He,5,new,0,1,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Ya->Ko,3,continue,1,1,1
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Ya->Ko,3,drop,0,1,0
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,Ya->Ko,3,new,0,1,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Jo->Ya,2,continue,0,1,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Jo->Ya,2,drop,1,1,1
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Jo->Ya,2,new,0,1,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Ko->Na,4,continue,0,1,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Ko->Na,4,drop,1,1,1
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Ko->Na,4,new,0,1,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Pa->Jo,1,continue,0,1,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Pa->Jo,1,drop,0,1,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Pa->Jo,1,new,1,1,1
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Ya->Ko,3,continue,0,1,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Ya->Ko,3,drop,0,1,0
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,Ya->Ko,3,new,1,1,1
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,He->Me,6,continue,1,3,0.3333333333333333
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,He->Me,6,drop,1,3,0.3333333333333333
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,He->Me,6,new,1,3,0.3333333333333333
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Jo->Ya,2,continue,0,2,0
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Jo->Ya,2,drop,0,2,0
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Jo->Ya,2,new,2,2,1
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Ko->Na,4,continue,0,5,0
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Ko->Na,4,drop,2,5,0.4
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Ko->Na,4,new,3,5,0.6
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Na->He,5,continue,2,3,0.6666666666666666
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Na->He,5,drop,1,3,0.3333333333333333
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Na->He,5,new,0,3,0
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Ya->Ko,3,continue,0,4,0
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Ya->Ko,3,drop,2,4,0.5
unit_basin,B_830303_393,利根川 / basin 393,all_land_use,Ya->Ko,3,new,2,4,0.5
unit_basin,B_830303_425,利根川 / basin 425,all_land_use,He->Me,6,continue,0,1,0
unit_basin,B_830303_425,利根川 / basin 425,all_land_use,He->Me,6,drop,0,1,0
unit_basin,B_830303_425,利根川 / basin 425,all_land_use,He->Me,6,new,1,1,1
unit_basin,B_830303_426,利根川 / basin 426,all_land_use,He->Me,6,continue,0,3,0
unit_basin,B_830303_426,利根川 / basin 426,all_land_use,He->Me,6,drop,0,3,0
unit_basin,B_830303_426,利根川 / basin 426,all_land_use,He->Me,6,new,3,3,1
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,He->Me,6,continue,4,5,0.8
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,He->Me,6,drop,0,5,0
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,He->Me,6,new,1,5,0.2
unit_basin,B_830303_427,利根川 / basin 427,all_land_use,Ko->Na,4,continue,4,7,0.5714285714285714
