scheme,group_id,group_label,activity_domain,phase_code,phase_order,n_places,presence_rate
unit_basin,B_830304_11,荒川 / basin 11,all_land_use,Jo,2,5,0
unit_basin,B_830304_11,荒川 / basin 11,all_land_use,Ko,4,5,0.4
unit_basin,B_830304_11,荒川 / basin 11,all_land_use,Me,7,5,0.6
unit_basin,B_830304_11,荒川 / basin 11,all_land_use,Na,5,5,0
unit_basin,B_830304_11,荒川 / basin 11,all_land_use,Pa,1,5,0
unit_basin,B_830304_11,荒川 / basin 11,all_land_use,Ya,3,5,0.2
unit_basin,B_830304_120,荒川 / basin 120,all_land_use,He,6,60,0.5166666666666667
unit_basin,B_830304_120,荒川 / basin 120,all_land_use,Jo,2,60,0.7
unit_basin,B_830304_120,荒川 / basin 120,all_land_use,Ko,4,60,0.35
unit_basin,B_830304_120,荒川 / basin 120,all_land_use,Me,7,60,0.2833333333333333
unit_basin,B_830304_120,荒川 / basin 120,all_land_use,Na,5,60,0.4666666666666667
unit_basin,B_830304_120,荒川 / basin 120,all_land_use,Pa,1,60,0.1
unit_basin,B_830304_120,荒川 / basin 120,all_land_use,Ya,3,60,0.11666666666666667
unit_basin,B_830304_139,荒川 / basin 139,all_land_use,He,6,11,0
unit_basin,B_830304_139,荒川 / basin 139,all_land_use,Jo,2,11,1
unit_basin,B_830304_139,荒川 / basin 139,all_land_use,Ko,4,11,0
unit_basin,B_830304_139,荒川 / basin 139,all_land_use,Me,7,11,0
unit_basin,B_830304_139,荒川 / basin 139,all_land_use,Na,5,11,0
unit_basin,B_830304_139,荒川 / basin 139,all_land_use,Pa,1,11,0
unit_basin,B_830304_139,荒川 / basin 139,all_land_use,Ya,3,11,0
unit_basin,B_830304_14,荒川 / basin 14,all_land_use,He,6,1,0
unit_basin,B_830304_14,荒川 / basin 14,all_land_use,Jo,2,1,1
unit_basin,B_830304_14,荒川 / basin 14,all_land_use,Ko,4,1,0
unit_basin,B_830304_14,荒川 / basin 14,all_land_use,Me,7,1,0
unit_basin,B_830304_14,荒川 / basin 14,all_land_use,Na,5,1,0
unit_basin,B_830304_14,荒川 / basin 14,all_land_use,Pa,1,1,0
unit_basin,B_830304_14,荒川 / basin 14,all_land_use,Ya,3,1,0
unit_basin,B_830304_15,荒川 / basin 15,all_land_use,He,6,8,0.625
unit_basin,B_830304_15,荒川 / basin 15,all_land_use,Jo,2,8,0.625
unit_basin,B_830304_15,荒川 / basin 15,all_land_use,Ko,4,8,0.375
unit_basin,B_830304_15,荒川 / basin 15,all_land_use,Me,7,8,0.5
unit_basin,B_830304_15,荒川 / basin 15,all_land_use,Na,5,8,0.625
unit_basin,B_830304_15,荒川 / basin 15,all_land_use,Pa,1,8,0.125
unit_basin,B_830304_15,荒川 / basin 15,all_land_use,Ya,3,8,0.5
unit_basin,B_830304_158,荒川 / basin 158,all_land_use,He,6,2,0
unit_basin,B_830304_158,荒川 / basin 158,all_land_use,Jo,2,2,1
unit_basin,B_830304_158,荒川 / basin 158,all_land_use,Ko,4,2,0
unit_basin,B_830304_158,荒川 / basin 158,all_land_use,Me,7,2,0
