scheme,phase_code,phase_order,group_id,group_label,presence_count,phase_known_geo_total,phase_share,baseline_place_count,baseline_total,baseline_share,phase_share_minus_baseline,relative_concentration_ratio,interpretation_class,selection_inference_allowed
unit_basin,Pa,1,B_830305_8,多摩川 / basin 8,9,694,0.012968299711815562,50,5479,0.009125752874612156,0.003842546837203406,1.4210662824207492,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_130000_4,名称不明 / basin 4,8,694,0.011527377521613832,47,5479,0.008578207702135425,0.0029491698194784068,1.3437979029983445,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_68,荒川 / basin 68,8,694,0.011527377521613832,70,5479,0.012776054024457018,-0.0012486765028431861,0.9022643062988883,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_88,荒川 / basin 88,8,694,0.011527377521613832,31,5479,0.005657966782259536,0.005869410739354296,2.0373710142232966,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_16,多摩川 / basin 16,8,694,0.011527377521613832,15,5479,0.0027377258623836466,0.008789651659230185,4.210566762728146,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830306_16,鶴見川 / basin 16,8,694,0.011527377521613832,155,5479,0.028289833911297683,-0.01676245638968385,0.40747420284465924,lower_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830306_21,鶴見川 / basin 21,8,694,0.011527377521613832,81,5479,0.014783719656871691,-0.0032563421352578593,0.7797345856903973,lower_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_130000_5,名称不明 / basin 5,7,694,0.010086455331412104,64,5479,0.011680963679503558,-0.0015945083480914547,0.8634951368876082,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_120,荒川 / basin 120,6,694,0.008645533141210375,57,5479,0.010403358277057857,-0.0017578251358474819,0.8310329136963447,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_39,荒川 / basin 39,6,694,0.008645533141210375,21,5479,0.003832816207337105,0.00481271693387327,2.2556607657472214,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_53,荒川 / basin 53,6,694,0.008645533141210375,8,5479,0.0014601204599379448,0.00718541268127243,5.921109510086456,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_19,多摩川 / basin 19,6,694,0.008645533141210375,130,5479,0.023726957473991603,-0.015081424332781227,0.36437596985147425,lower_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_25,多摩川 / basin 25,6,694,0.008645533141210375,30,5479,0.005475451724767293,0.0031700814164430822,1.578962536023055,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_83,荒川 / basin 83,5,694,0.007204610951008645,25,5479,0.004562876437306078,0.002641734513702567,1.5789625360230546,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_20,多摩川 / basin 20,5,694,0.007204610951008645,33,5479,0.006022996897244022,0.001181614053764623,1.1961837394114052,similar_to_archaeological_sample,FALSE
