group_id,phase_code,group_label,presence_count,phase_share,phase_order,unit_total_presence_records,within_unit_temporal_share,trajectory_class,interpretation_status
B_130000_5_LF_CLASS::氾濫平野・海岸平野,Na,名称不明 / basin 5 / 氾濫平野・海岸平野,1,5.959475566150178e-4,5,6,0.16666666666666666,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::氾濫平野・海岸平野,He,名称不明 / basin 5 / 氾濫平野・海岸平野,1,4.7036688617121356e-4,6,6,0.16666666666666666,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::氾濫平野・海岸平野,Me,名称不明 / basin 5 / 氾濫平野・海岸平野,1,0.0010050251256281408,7,6,0.16666666666666666,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::台地・段丘,Pa,名称不明 / basin 6 / 台地・段丘,0,0,1,15,0,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::台地・段丘,Jo,名称不明 / basin 6 / 台地・段丘,9,0.0024623803009575923,2,15,0.6,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::台地・段丘,Ya,名称不明 / basin 6 / 台地・段丘,0,0,3,15,0,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::台地・段丘,Ko,名称不明 / basin 6 / 台地・段丘,4,0.0024600246002460025,4,15,0.26666666666666666,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::台地・段丘,Na,名称不明 / basin 6 / 台地・段丘,1,5.959475566150178e-4,5,15,0.06666666666666667,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::台地・段丘,He,名称不明 / basin 6 / 台地・段丘,1,4.7036688617121356e-4,6,15,0.06666666666666667,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::台地・段丘,Me,名称不明 / basin 6 / 台地・段丘,0,0,7,15,0,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::山地斜面等,Pa,名称不明 / basin 6 / 山地斜面等,1,0.001447178002894356,1,14,0.07142857142857142,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::山地斜面等,Jo,名称不明 / basin 6 / 山地斜面等,7,0.0019151846785225718,2,14,0.5,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::山地斜面等,Ya,名称不明 / basin 6 / 山地斜面等,0,0,3,14,0,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::山地斜面等,Ko,名称不明 / basin 6 / 山地斜面等,3,0.0018450184501845018,4,14,0.21428571428571427,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::山地斜面等,Na,名称不明 / basin 6 / 山地斜面等,2,0.0011918951132300357,5,14,0.14285714285714285,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::山地斜面等,He,名称不明 / basin 6 / 山地斜面等,1,4.7036688617121356e-4,6,14,0.07142857142857142,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::山地斜面等,Me,名称不明 / basin 6 / 山地斜面等,0,0,7,14,0,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::氾濫平野・海岸平野,Pa,名称不明 / basin 6 / 氾濫平野・海岸平野,0,0,1,3,0,continuous_3_4phase,low_n_descriptive_only
B_130000_6_LF_CLASS::氾濫平野・海岸平野,Jo,名称不明 / basin 6 / 氾濫平野・海岸平野,0,0,2,3,0,continuous_3_4phase,low_n_descriptive_only
B_130000_6_LF_CLASS::氾濫平野・海岸平野,Ya,名称不明 / basin 6 / 氾濫平野・海岸平野,0,0,3,3,0,continuous_3_4phase,low_n_descriptive_only
B_130000_6_LF_CLASS::氾濫平野・海岸平野,Ko,名称不明 / basin 6 / 氾濫平野・海岸平野,1,6.150061500615006e-4,4,3,0.3333333333333333,continuous_3_4phase,low_n_descriptive_only
B_130000_6_LF_CLASS::氾濫平野・海岸平野,Na,名称不明 / basin 6 / 氾濫平野・海岸平野,1,5.959475566150178e-4,5,3,0.3333333333333333,continuous_3_4phase,low_n_descriptive_only
B_130000_6_LF_CLASS::氾濫平野・海岸平野,He,名称不明 / basin 6 / 氾濫平野・海岸平野,1,4.7036688617121356e-4,6,3,0.3333333333333333,continuous_3_4phase,low_n_descriptive_only
