"JASID","自治体コード","遺跡番号","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11241009200,11241,"92","集落跡",35.9287021625328,139.396839589176,1,1,1,0,0,0,1,1,0,0
11241009700,11241,"97","その他",35.9365221943142,139.382691796149,0,1,0,0,1,1,1,1,0,0
11241010200,11241,"102","城跡",35.9329555225491,139.381115407309,0,0,0,0,0,0,1,0,0,0
11241010400,11241,"104","城跡",35.9504437666815,139.423459035431,0,0,0,0,0,0,1,1,0,0
11242008300,11242,"83","集落跡",35.9041070003766,139.323028967653,0,0,0,0,0,0,1,0,0,0
11242008900,11242,"89","集落跡",35.8921815867326,139.328291237427,0,0,0,0,0,0,1,1,0,0
11242009400,11242,"94","集落跡",35.8960070488259,139.329894792972,0,0,0,0,0,0,1,0,0,0
11242015000,11242,"150","集落跡",35.8901490051245,139.362110927479,0,1,0,0,0,0,1,0,0,0
11242018400,11242,"184","集落跡",35.8966487512077,139.391236482197,0,1,0,0,0,0,1,0,0,0
11324000200,11324,"2","旧石器 集落跡",35.8210567806358,139.547345276595,1,1,1,1,1,1,1,0,0,0
11326001700,11326,"17","城跡",35.9439304480208,139.308067864839,0,0,0,0,0,0,1,0,0,0
11326001800,11326,"18","その他",35.9422865059072,139.305773879053,0,0,0,0,0,0,1,0,0,0
11326003900,11326,"39","寺院跡",35.9567738322494,139.342501791635,0,0,0,0,0,0,1,0,0,0
11326004100,11326,"41","集落跡 墓",35.9458481728336,139.302020259217,0,1,0,0,0,0,1,0,0,0
11326004300,11326,"43","墓 寺院跡",35.9179663857837,139.316104273039,0,0,0,0,1,1,1,0,0,0
11326010600,11326,"106","その他",35.9485667110976,139.347337745575,0,0,0,0,0,0,1,0,0,0
11326010900,11326,"109","墓",35.9578769843794,139.344110511819,0,0,0,0,0,0,1,0,0,0
11326011000,11326,"110","寺院跡",35.9554386654147,139.358481288052,0,0,0,0,0,0,1,0,0,0
11326011100,11326,"111","その他",35.9547922098379,139.344865821485,0,0,0,0,0,0,1,0,0,0
11326011200,11326,"112","その他",35.9512309011066,139.345103428266,0,0,0,0,0,0,1,0,0,0
11326011800,11326,"118","墓",35.9205040833707,139.307326690568,0,0,0,0,0,0,1,0,0,0
11326012000,11326,"120","その他",35.9151756908295,139.308343070208,0,0,0,0,0,0,1,1,0,0
11326012100,11326,"121","その他",35.959488800112,139.354135535841,0,0,0,0,0,0,1,1,0,0
11327000500,11327,"5","城跡",35.9729335446867,139.270530390153,0,0,0,0,0,0,1,0,0,0
11327002800,11327,"28","その他",35.9685434048139,139.290305780254,0,0,0,0,0,1,1,0,0,0
11327003000,11327,"30","その他",35.9615060225349,139.293417485916,0,0,0,0,0,0,1,0,0,0
11327003200,11327,"32","その他",35.9691810908342,139.267541359095,0,0,0,0,0,0,1,0,0,0
11327003300,11327,"33","その他",35.9541293692612,139.25190576384,0,0,0,0,0,0,1,0,0,0
11327003400,11327,"34","城跡",35.9740488159783,139.23239671741,0,0,0,0,0,0,1,0,0,0
11347000200,11347,"2","城跡",36.0371315616815,139.421484749627,0,0,0,0,0,0,1,0,0,0
11347000600,11347,"6","集落跡 古墳",36.0386473535178,139.436764889715,0,1,0,1,1,1,1,0,0,0
11347003500,11347,"35","その他",36.0666236812991,139.436292116891,0,0,0,0,0,1,1,0,0,0
11347006800,11347,"68","その他",36.0574393882988,139.430963461212,0,0,0,0,1,1,1,0,0,0
11347006900,11347,"69","集落跡",36.0585381550479,139.418351592923,0,0,0,0,1,1,1,0,0,0
11347007000,11347,"70","集落跡",36.0283274298664,139.434700223706,0,0,0,0,1,1,1,0,0,0
11347007100,11347,"71","集落跡",36.0441887895189,139.427533537721,0,0,0,0,1,1,1,0,0,0
11347007500,11347,"75","集落跡 その他",36.0414316173529,139.422477932881,0,0,0,0,0,1,1,0,0,0
11347008000,11347,"80","集落跡",36.0544890342771,139.440201971361,0,0,0,1,1,1,1,0,0,0
11347009000,11347,"90","集落跡",36.0693314737777,139.437529061006,0,0,0,1,1,1,1,0,0,0
11347009300,11347,"93","集落跡",36.0471346147098,139.467433308779,0,1,0,1,1,1,1,0,0,0
11347009400,11347,"94","集落跡",36.039689614839,139.424079257782,0,0,0,0,0,1,1,0,0,0
11347009600,11347,"96","集落跡",36.0515552088935,139.44624891584,0,0,0,0,0,1,1,0,0,0
