gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,monte_carlo_p,monte_carlo_p_bh,expected_status,selection_signal,activity_domain,phase_code,phase_order,n_observed_domain,coverage_threshold
旧河道,4,8.26860539797278,0.4837575150194836,-0.9624224061743072,-1.4844647042118293,0.1575,0.245,eligible,no_clear_signal,general_activity,Me,7,716,0.95
後背低地・湿地,4,2.2647438697855478,1.76620414050564,0.7027791683262858,1.1530656667372015,0.3045,0.42629999999999996,low_expected_descriptive_only,no_clear_signal,general_activity,Me,7,716,0.95
山地斜面等,287,296.79467093772854,0.966998494592972,-0.04833164684337949,-0.5685410151532678,0.3815,0.48554545454545456,eligible,no_clear_signal,general_activity,Me,7,716,0.95
扇状地,1,0.6536643264863126,1.5298371954537733,0.3787389864081939,0.4283707762442319,1,1,low_expected_descriptive_only,no_clear_signal,general_activity,Me,7,716,0.95
崖・段丘崖,5,5.594700798761089,0.8937028412863863,-0.14812377911731728,-0.2514259437548566,0.847,0.9881666666666667,eligible,no_clear_signal,general_activity,Me,7,716,0.95
河川敷・浜,0,0.0335789587371489,0,-0.09377368122266115,-0.18324562406002742,1,1,low_expected_descriptive_only,no_clear_signal,general_activity,Me,7,716,0.95
旧水部,0,9.653301768417446,0,-4.343877050900958,-3.1069763063817284,0.001,0.013000000000000001,eligible,underrepresented,institutional,Me,7,100,0.95
氾濫平野・海岸平野,9,20.523941724669747,0.4385122565994238,-1.1460337632798951,-2.543727979573398,0.004,0.017875,eligible,underrepresented,institutional,Me,7,100,0.95
台地・段丘,44,32.12529589224133,1.3696371901939917,0.44781434994184915,2.0950733306442912,0.0045,0.017875,eligible,overrepresented,institutional,Me,7,100,0.95
山地斜面等,36,25.708538652843988,1.4003129655141844,0.4778595505045411,2.029730378980082,0.0055,0.017875,eligible,overrepresented,institutional,Me,7,100,0.95
崖・段丘崖,3,1.058324998574061,2.8346679933310313,1.1673587740659892,1.887413303589639,0.0955,0.20691666666666667,low_expected_descriptive_only,no_clear_signal,institutional,Me,7,100,0.95
凹地・浅い谷,0,3.244344748104774,0,-2.904713272390263,-1.8012064701484873,0.0685,0.1781,low_expected_descriptive_only,no_clear_signal,institutional,Me,7,100,0.95
水部,0,2.7122224218910995,0,-2.6835717919366506,-1.6468826375583354,0.115,0.21357142857142858,low_expected_descriptive_only,no_clear_signal,institutional,Me,7,100,0.95
砂州・砂丘,4,2.056011893236954,1.9455140377142763,0.8160304522176342,1.355753681202474,0.2635,0.3806111111111111,low_expected_descriptive_only,no_clear_signal,institutional,Me,7,100,0.95
山麓堆積地形,2,0.8255125069184508,2.4227373701045236,0.9153778120197238,1.2926667192774395,0.188,0.3055,low_expected_descriptive_only,no_clear_signal,institutional,Me,7,100,0.95
旧河道,0,0.6446753840412626,0,-1.1949385256298493,-0.8029167977077466,0.65,0.8450000000000001,low_expected_descriptive_only,no_clear_signal,institutional,Me,7,100,0.95
後背低地・湿地,1,0.5009382711851764,1.996253944890429,0.5836094961786673,0.7051185829884258,1,1,low_expected_descriptive_only,no_clear_signal,institutional,Me,7,100,0.95
扇状地,0,0.09229310008255497,0,-0.24438318467005948,-0.3037977947295783,1,1,low_expected_descriptive_only,no_clear_signal,institutional,Me,7,100,0.95
自然堤防,1,0.8545986377931578,1.170139941461075,0.14709705064832104,0.1572850255244684,1,1,low_expected_descriptive_only,no_clear_signal,institutional,Me,7,100,0.95
台地・段丘,26,15.542204392375611,1.6728643726210788,0.7241199605616192,2.6526737606655773,0.0015,0.0195,eligible,overrepresented,monument,Ya,3,36,0.95
氾濫平野・海岸平野,1,7.838945797124996,0.12756817381831612,-2.474902510120142,-2.442644872048189,0.007,0.0455,eligible,underrepresented,monument,Ya,3,36,0.95
凹地・浅い谷,0,1.5748103741936637,0,-2.0529794884058212,-1.2549144887974095,0.2395,1,low_expected_descriptive_only,no_clear_signal,monument,Ya,3,36,0.95
旧水部,0,1.1289428959481351,0,-1.7039360297833563,-1.0625172450121152,0.327,1,low_expected_descriptive_only,no_clear_signal,monument,Ya,3,36,0.95
水部,0,0.8293071808263216,0,-1.4106745260184754,-0.9106630446143741,0.589,1,low_expected_descriptive_only,no_clear_signal,monument,Ya,3,36,0.95
砂州・砂丘,0,0.5831060935084496,0,-1.115174566198219,-0.7636138379498172,0.656,1,low_expected_descriptive_only,no_clear_signal,monument,Ya,3,36,0.95
自然堤防,0,0.3584134067480157,0,-0.7797445134738884,-0.5986763789795081,1,1,low_expected_descriptive_only,no_clear_signal,monument,Ya,3,36,0.95
山麓堆積地形,0,0.2905864274093946,0,-0.6609950926541266,-0.5390606899129212,1,1,low_expected_descriptive_only,no_clear_signal,monument,Ya,3,36,0.95
山地斜面等,8,6.639127776861659,1.2049775616431397,0.2517150175369587,0.5281555358100262,0.601,1,eligible,no_clear_signal,monument,Ya,3,36,0.95
旧河道,0,0.27473492973593594,0,-0.6317746916692837,-0.5241516285731982,1,1,low_expected_descriptive_only,no_clear_signal,monument,Ya,3,36,0.95
後背低地・湿地,0,0.262714525944716,0,-0.6092150813472124,-0.5125568514269574,1,1,low_expected_descriptive_only,no_clear_signal,monument,Ya,3,36,0.95
崖・段丘崖,1,0.654792983592622,1.5272002374144984,0.37732825367965367,0.42660663497784507,1,1,low_expected_descriptive_only,no_clear_signal,monument,Ya,3,36,0.95
扇状地,0,0.0223132157304874,0,-0.06298711280064342,-0.14937608821524082,1,1,low_expected_descriptive_only,no_clear_signal,monument,Ya,3,36,0.95
崖・段丘崖,33,5.243297422931937,6.293749398169201,2.544209915260332,12.121758435248394,5e-4,0.00175,eligible,overrepresented,monument,Ko,4,452,0.95
旧水部,0,34.96082210948455,0,-6.148154078375172,-5.912767719899417,5e-4,0.00175,eligible,underrepresented,monument,Ko,4,452,0.95
氾濫平野・海岸平野,32,82.03902159690242,0.3900582841812955,-1.3446366188510217,-5.524571177087311,5e-4,0.00175,eligible,underrepresented,monument,Ko,4,452,0.95
台地・段丘,253,188.3804907453346,1.3430265469582112,0.4245120521645177,4.708100160973855,5e-4,0.00175,eligible,overrepresented,monument,Ko,4,452,0.95
水部,0,7.854555313349535,0,-4.062563040219576,-2.802597957850811,0.009,0.021,eligible,underrepresented,monument,Ko,4,452,0.95
凹地・浅い谷,6,15.424101329108304,0.3890015938028638,-1.2927003335529865,-2.3996064035431908,0.016,0.028,eligible,underrepresented,monument,Ko,4,452,0.95
山地斜面等,111,88.98599055162549,1.2473873618971856,0.31730996560246516,2.3336640122804924,0.003,0.0084,eligible,overrepresented,monument,Ko,4,452,0.95
旧河道,4,12.081115513089227,0.33109525322113004,-1.4832629388620078,-2.3249723710129864,0.0115,0.023,eligible,underrepresented,monument,Ko,4,452,0.95
後背低地・湿地,0,2.3733742323797196,0,-2.522745903778182,-1.5405759417762304,0.1695,0.26039999999999996,low_expected_descriptive_only,no_clear_signal,monument,Ko,4,452,0.95
山麓堆積地形,0,2.3595167759746243,0,-2.515771369449017,-1.5360718654980385,0.186,0.26039999999999996,low_expected_descriptive_only,no_clear_signal,monument,Ko,4,452,0.95
扇状地,0,0.3494093564120672,0,-0.7645319054567065,-0.5911085825904301,1,1,low_expected_descriptive_only,no_clear_signal,monument,Ko,4,452,0.95
