gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,phase_code,phase_order,coverage_threshold
砂州・砂丘,22,12.10299220494886,1.817732311767027,0.8361587021021951,2.8448379679383247,Na,5,0.9
砂州・砂丘,22,11.954267045360492,1.8403470423172708,0.8532848824038098,2.9054951344547884,Na,5,0.95
砂州・砂丘,22,11.905938624215224,1.8478173535394082,0.8588941088341104,2.9253923501100165,Na,5,0.99
自然堤防,16,12.9056415994813,1.2397678857471968,0.299625755524434,0.8613522922918625,Na,5,0.9
自然堤防,16,9.46345397516443,1.6907146208973869,0.7277481592918928,2.1248265598685045,Na,5,0.95
自然堤防,13,7.929078889479195,1.639534702731893,0.6795125168070725,1.800841476919555,Na,5,0.99
落堀,0,0.00447967348157712,0,-0.012868046479749271,-0.06693036292727778,Na,5,0.9
凹地・浅い谷,25,39.145175191068105,0.6386483104999449,-0.636648053865004,-2.2608367817174964,He,6,0.9
凹地・浅い谷,20,35.26446122584421,0.5671432174140982,-0.8029027984617324,-2.570471858263804,He,6,0.95
凹地・浅い谷,18,34.134847453077406,0.5273203586084056,-0.9046990488495473,-2.7616324715697975,He,6,0.99
台地・段丘,611,491.1954018751042,1.2439041523343868,0.3145876349974331,5.405630301030083,He,6,0.9
台地・段丘,564,455.1690860459704,1.2390999681007293,0.30898708386485485,5.101124195192829,He,6,0.95
台地・段丘,452,392.3110033912968,1.152147138603626,0.20408244931585257,3.013554386457247,He,6,0.99
山地斜面等,1053,925.8692503384368,1.1373096143057917,0.18553104336711018,4.178070631575703,He,6,0.9
山地斜面等,1046,920.724286566913,1.1360621363646224,0.1839479605610593,4.12859312651514,He,6,0.95
山地斜面等,793,658.1246674842314,1.2049388803968515,0.26877367682605663,5.257489861039647,He,6,0.99
山麓堆積地形,41,36.55281212207104,1.1216647261796773,0.1635282964761427,0.7355718152823741,He,6,0.9
山麓堆積地形,41,36.32547946092551,1.1286843452156707,0.17240702745379416,0.7755885602353899,He,6,0.95
