landscape_code,basin_id,class_id,watersystem_code,watersystem_name,unit_basin_code,basin_unit_id,gsi_landform_class,landform_unit_id,landscape_unit_id,available_cell_count,available_area_m2,available_area_km2,basin_cell_count,basin_grid_area_m2,landform_known_cell_count,landform_known_area_m2,landform_coverage_ratio,available_share_known,available_share_basin,resolution_m,basin_observed_total,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,expected_status,phase_code,phase_order,coverage_threshold
137004,137,4,830304,NA,56,B_830304_56,台地・段丘,LF_CLASS::台地・段丘,B_830304_56_LF_CLASS::台地・段丘,11326,1132600,1.1326,40138,4013800,40099,4009900,0.999028352184962,0.2824509339385022,0.2821764911056854,10,10,8,2.824509339385022,2.832350344340456,1.3543214106727703,3.0794986757764105,expected_1_to_5,Me,7,0.95
157004,157,4,830304,NA,86,B_830304_86,台地・段丘,LF_CLASS::台地・段丘,B_830304_86_LF_CLASS::台地・段丘,12520,1252000,1.252,83424,8342400,83423,8342300,0.9999880130418104,0.1500785155173034,0.15007671653241272,10,30,11,4.502355465519102,2.44316560170394,1.2009543775224385,3.0622176742129943,expected_1_to_5,Me,7,0.95
121004,121,4,830304,NA,37,B_830304_37,台地・段丘,LF_CLASS::台地・段丘,B_830304_37_LF_CLASS::台地・段丘,33406,3340600,3.3406,128210,12821000,128204,12820400,0.9999532017783324,0.26056909300801845,0.26055689883784416,10,6,5,1.5634145580481107,3.198128080783891,1.4143979182290374,2.7484641096378843,expected_1_to_5,Me,7,0.95
277009,277,9,unknown,NA,0,B_unknown_0,砂州・砂丘,LF_CLASS::砂州・砂丘,B_unknown_0_LF_CLASS::砂州・砂丘,40703,4070300,4.0703,1844542,184454200,1835378,183537800,0.9950318290394038,0.02217690306846873,0.022066724422648,10,73,5,1.618913923998217,3.0884903303886255,1.376106635902755,2.6573230093350233,expected_1_to_5,Me,7,0.95
271011,271,11,830306,NA,20,B_830306_20,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830306_20_LF_CLASS::氾濫平野・海岸平野,60286,6028600,6.0286,264495,26449500,263669,26366900,0.9968770676194256,0.2286427300896199,0.22792869430424015,10,58,4,13.261278345197955,0.30163004620504336,-1.6126175879483018,-2.5431866879995515,expected_ge_5,Me,7,0.95
196004,196,4,830305,NA,35,B_830305_35,台地・段丘,LF_CLASS::台地・段丘,B_830305_35_LF_CLASS::台地・段丘,53764,5376400,5.3764,205561,20556100,201906,20190600,0.982219389864809,0.26628232940081026,0.261547667115844,10,22,12,5.858211246817826,2.0484068420233887,0.9752352400378048,2.5375368669437077,expected_ge_5,Me,7,0.95
176011,176,11,830305,NA,17,B_830305_17,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_17_LF_CLASS::氾濫平野・海岸平野,39155,3915500,3.9155,129141,12914100,128500,12850000,0.9950364330460504,0.3047081712062257,0.3031957317970281,10,35,3,10.6647859922179,0.28129959684039624,-1.673528770526196,-2.347058751445964,expected_ge_5,Me,7,0.95
271005,271,5,830306,NA,20,B_830306_20,山麓堆積地形,LF_CLASS::山麓堆積地形,B_830306_20_LF_CLASS::山麓堆積地形,8858,885800,0.8858,264495,26449500,263669,26366900,0.9968770676194256,0.03359515149676299,0.03349023611032344,10,58,5,1.9485187868122533,2.566051728030769,1.1675223531452874,2.1860414970823627,expected_1_to_5,Me,7,0.95
157016,157,16,830304,NA,86,B_830304_86,水部,LF_CLASS::水部,B_830304_86_LF_CLASS::水部,12262,1226200,1.2262,83424,8342400,83423,8342300,0.9999880130418104,0.14698584323268163,0.14698408131952437,10,30,0,4.4095752969804485,0,-3.2955982295418123,-2.0998988777987497,expected_1_to_5,Me,7,0.95
219004,219,4,830305,NA,56,B_830305_56,台地・段丘,LF_CLASS::台地・段丘,B_830305_56_LF_CLASS::台地・段丘,21664,2166400,2.1664,64997,6499700,64126,6412600,0.986599381509916,0.3378348875651062,0.3333076911242057,10,3,3,1.0135046626953186,2.960025849335303,1.2094618023351567,1.9732162098212214,expected_1_to_5,Me,7,0.95
