place_id,weight_set,w_presence,w_run,w_gapfree,continuity_index,rank_desc,top_n,top_fraction_flag
13201042900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201043400,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201044900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201045300,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201051300,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201053300,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201089000,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201092200,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201098400,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13205011100,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13205015800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13206000600,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13208002800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13208004000,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13208004400,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13208004800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209001300,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209007100,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209007400,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209009400,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209009800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209009900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209012200,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209012900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209015000,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209015800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209016900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13209022200,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
