scheme,group_id,group_label,activity_domain,n_places,median_presence_phase_count,median_longest_run_length,gap_place_rate,median_gap_count,median_continuity_index,median_intermittency_index,analysis_status
unit_basin,B_120000_6,名称不明 / basin 6,all_land_use,1,3,2,1,1,0.3535714285714286,0.5,low_n_descriptive_only
unit_basin,B_140013_16,境川 / basin 16,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,1,5,5,0,0,0.7142857142857144,0,low_n_descriptive_only
unit_basin,B_830303_388,利根川 / basin 388,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830303_425,利根川 / basin 425,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830303_470,利根川 / basin 470,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_105,荒川 / basin 105,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_14,荒川 / basin 14,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_18,荒川 / basin 18,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_44,荒川 / basin 44,all_land_use,1,5,3,1,1,0.5928571428571429,0.2,low_n_descriptive_only
unit_basin,B_830305_101,多摩川 / basin 101,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_29,多摩川 / basin 29,all_land_use,1,5,4,1,1,0.6499999999999999,0.2,low_n_descriptive_only
unit_basin,B_830305_45,多摩川 / basin 45,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_47,多摩川 / basin 47,all_land_use,1,4,3,1,1,0.5053571428571428,0.25,low_n_descriptive_only
unit_basin,B_830305_54,多摩川 / basin 54,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_58,多摩川 / basin 58,all_land_use,1,2,1,1,1,0.2017857142857143,0.75,low_n_descriptive_only
unit_basin,B_830305_59,多摩川 / basin 59,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_60,多摩川 / basin 60,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_63,多摩川 / basin 63,all_land_use,1,0,0,0,0,0,0,low_n_descriptive_only
unit_basin,B_830305_64,多摩川 / basin 64,all_land_use,1,2,1,1,1,0.19999999999999998,0.8,low_n_descriptive_only
unit_basin,B_830305_71,多摩川 / basin 71,all_land_use,1,3,3,0,0,0.42857142857142855,0,low_n_descriptive_only
unit_basin,B_830305_79,多摩川 / basin 79,all_land_use,1,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_9,多摩川 / basin 9,all_land_use,1,5,4,1,1,0.6499999999999999,0.2,low_n_descriptive_only
watershed_x_landform,B_830306_20_LF_1010101,鶴見川 / basin 20 / 山地斜面等,all_land_use,292,2,2,0.5136986301369864,1,0.2857142857142857,0.2,eligible
watershed_x_landform,B_830305_22_LF_1010101,多摩川 / basin 22 / 山地斜面等,all_land_use,173,2,1,0.44508670520231214,0,0.2017857142857143,0,eligible
watershed_x_landform,B_140013_17_LF_10101,境川 / basin 17 / 山地斜面等,all_land_use,157,3,2,0.554140127388535,1,0.3535714285714286,0.2,eligible
watershed_x_landform,B_830305_28_LF_1010101,多摩川 / basin 28 / 山地斜面等,all_land_use,139,3,2,0.6402877697841727,1,0.3535714285714286,0.4,eligible
watershed_x_landform,B_830305_30_LF_10101,多摩川 / basin 30 / 山地斜面等,all_land_use,133,2,1,0.46616541353383456,0,0.21071428571428572,0,eligible
watershed_x_landform,B_830305_23_LF_1010101,多摩川 / basin 23 / 山地斜面等,all_land_use,132,2,1,0.5075757575757576,1,0.2857142857142857,0.16666666666666666,eligible
watershed_x_landform,B_unknown_0_LF_10314,unknown / basin 0 / 台地・段丘,all_land_use,127,1,1,0.1732283464566929,0,0.14285714285714285,0,eligible
watershed_x_landform,B_830305_19_LF_2010101,多摩川 / basin 19 / 台地・段丘,all_land_use,109,1,1,0.08256880733944955,0,0.14285714285714285,0,eligible
watershed_x_landform,B_unknown_0_LF_2010101,unknown / basin 0 / 台地・段丘,all_land_use,101,1,1,0.1188118811881188,0,0.14285714285714285,0,eligible
watershed_x_landform,B_830305_17_LF_1010101,多摩川 / basin 17 / 山地斜面等,all_land_use,96,1.5,1,0.4479166666666667,0,0.17142857142857143,0,eligible
watershed_x_landform,B_830306_16_LF_1010101,鶴見川 / basin 16 / 山地斜面等,all_land_use,77,2,2,0.37662337662337664,0,0.2857142857142857,0,eligible
watershed_x_landform,B_unknown_0_LF_10101,unknown / basin 0 / 山地斜面等,all_land_use,74,1,1,0.06756756756756757,0,0.14285714285714285,0,eligible
watershed_x_landform,B_830306_21_LF_1010101,鶴見川 / basin 21 / 山地斜面等,all_land_use,64,2,1,0.53125,1,0.20773809523809522,0.2,eligible
watershed_x_landform,B_830305_30_LF_1010101,多摩川 / basin 30 / 山地斜面等,all_land_use,61,2,1,0.45901639344262296,0,0.2017857142857143,0,eligible
watershed_x_landform,B_830305_36_LF_10101,多摩川 / basin 36 / 山地斜面等,all_land_use,61,1,1,0.21311475409836064,0,0.14285714285714285,0,eligible
watershed_x_landform,B_830306_16_LF_2010101,鶴見川 / basin 16 / 台地・段丘,all_land_use,58,2,2,0.39655172413793105,0,0.2857142857142857,0,eligible
watershed_x_landform,B_830304_86_LF_10101,荒川 / basin 86 / 山地斜面等,all_land_use,57,2,1,0.47368421052631576,0,0.19999999999999998,0,eligible
watershed_x_landform,B_830305_18_LF_10314,多摩川 / basin 18 / 台地・段丘,all_land_use,57,2,2,0.3157894736842105,0,0.2857142857142857,0,eligible
watershed_x_landform,B_830305_10_LF_2010101,多摩川 / basin 10 / 台地・段丘,all_land_use,56,2,1,0.32142857142857145,0,0.24523809523809523,0,eligible
watershed_x_landform,B_830305_12_LF_2010101,多摩川 / basin 12 / 台地・段丘,all_land_use,55,1,1,0.2545454545454545,0,0.14285714285714285,0,eligible
watershed_x_landform,B_830304_67_LF_10314,荒川 / basin 67 / 台地・段丘,all_land_use,53,1,1,0.05660377358490566,0,0.14285714285714285,0,eligible
watershed_x_landform,B_130000_5_LF_2010101,名称不明 / basin 5 / 台地・段丘,all_land_use,51,2,2,0.19607843137254902,0,0.2857142857142857,0,eligible
