JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,LGCCheck,TownCheck,OverallCheck,AddressCandidates,DictionaryCandidates,PointBoundaryLGC,PointBoundaryTown,MatchedAddressCandidate,MatchedBoundaryTown,NormalizedLGC,SourceRowNumber
13218000500,13218,5,ふっさふどうそんいせき,福生不動尊遺跡,福生市 福生,[縄文時代（早期・中期〜後期）],集落,[縄文時代]集石土坑,縄文土器 打斧 礫器 石鏃 石皿 磨石 スタンプ形石器,139.3325231,35.74386288,Match,Mismatch,TownMismatch,福生,,13218,大字福生,,,13218,5313
13218000600,13218,6,しもいせき,志茂遺跡,福生市 志茂,[縄文時代（後期）][平安時代？],包蔵地,,縄文土器 石錘 土師器,139.3283689,35.73324548,Match,Mismatch,TownMismatch,志茂,志茂,13218,牛浜,,,13218,5314
13218000900,13218,9,,福生市№9遺跡,福生市 福生,[縄文時代],包蔵地,,石鏃,139.3375356,35.74138282,Match,Mismatch,TownMismatch,福生,,13218,大字福生,,,13218,5317
13218001000,13218,10,,福生市№10遺跡,福生市 福生,[縄文時代],包蔵地,,石鏃,139.3415868,35.73834535,Match,Mismatch,TownMismatch,福生,,13218,横田基地内,,,13218,5318
13218001100,13218,11,,福生市№11遺跡,福生市 福生,[縄文時代（早期・中期）],包蔵地,[縄文時代]集石土坑?,縄文土器 石鏃 土師器,139.336128,35.73789947,Match,Mismatch,TownMismatch,福生,,13218,大字福生,,,13218,5319
13218001300,13218,13,,福生市№13遺跡,福生市 熊川,[縄文時代（前期〜中期）][平安時代],包蔵地,,縄文土器 打斧 剥片 土師器,139.3390456,35.72968826,Match,Mismatch,TownMismatch,熊川,,13218,大字熊川,,,13218,5321
13218001400,13218,14,,福生市№14遺跡,福生市 熊川,[縄文時代][古墳時代],包蔵地,,剥片 土師器,139.3486929,35.72266464,Match,Mismatch,TownMismatch,熊川,,13218,大字熊川,,,13218,5322
13218001500,13218,15,,福生市№15遺跡,福生市 熊川,[時代不明],包蔵地,,土師器,139.3372603,35.71742439,Match,Mismatch,TownMismatch,熊川,,13218,大字熊川,,,13218,5323
13218001600,13218,16,,福生市№16遺跡,福生市 熊川,[縄文時代（中期）],包蔵地,,縄文土器 土師器,139.3331187,35.71633926,Match,Mismatch,TownMismatch,熊川,,13218,大字熊川,,,13218,5324
13218001800,13218,18,,福生市№18遺跡,福生市 熊川,[中世],包蔵地,[中世]溝状遺構,板碑,139.335625,35.72550959,Match,Mismatch,TownMismatch,熊川,,13218,大字熊川,,,13218,5326
13218001900,13218,19,,福生市№19遺跡,福生市 熊川,[中世],その他,,"銭貨4,909枚",139.3336337,35.72132872,Match,Mismatch,TownMismatch,熊川,,13218,大字熊川,,,13218,5327
