JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,近代,不明,経度,緯度
11341009500,11341,39,95,榎遺跡,集落跡,,,,1,,,,,,,,,,,,139.35089401324600,36.09296766317750
11341009600,11341,39,96,上湯谷遺跡,集落跡,,,,1,,1,,,,,,,,,,139.35234750501200,36.0932699090185
11341009300,11341,39,93,円正寺I遺跡,集落跡,,,,,,1,,,,,,,,,,139.34879473990500,36.093811414205600
11341009400,11341,39,94,円正寺裡遺跡,集落跡,,,,,,,1,1,,,,,,,,139.34999637085300,36.09411658078180
11341010500,11341,39,105,中在家遺跡,古墳,,,,,,1,,,,,,,,,,139.35413913164700,36.09424142069020
11341009100,11341,39,91,円正寺裡IV遺跡,集落跡,,,,,,1,,,,,,,,,,139.3508188377170,36.0958300341735
11341009200,11341,39,92,円正寺II遺跡,集落跡,,,,1,,1,,,,,,,,,,139.3487082849990,36.096377008602300
11341009000,11341,39,90,円正寺III遺跡,集落跡,,,,,,1,,,,,,,,,,139.35051011684700,36.096585807663200
11341008900,11341,39,89,円正寺裡II遺跡,集落跡,,,,,,1,,,,,,,,,,139.3518834078630,36.097390302728200
11341012200,11341,39,122,上中郷II遺跡,集落跡,,,,,,1,,,,,,,,,,139.3503571328890,36.084309943679300
11341035900,11341,39,359,中郷II遺跡,集落跡,,,,,,1,1,1,,,,,,,,139.35221017538600,36.08403111194760
11341012300,11341,39,123,上中郷II遺跡,散布地,,,,,,1,,,,,,,,,,139.35104377839700,36.08329897823560
11341012100,11341,39,121,上中郷遺跡,集落跡,,,,,,1,,,,,,,,,,139.3493679723360,36.08496286647850
11341011900,11341,39,119,湯谷遺跡,散布地,,,,1,,1,,,,,,,,,,139.3480559705880,36.089247143071500
11341011300,11341,39,113,中在家山遺跡,集落跡,,,,,,1,,,,,,,,,,139.35348137073500,36.08977565396210
11341011200,11341,39,112,湯谷山遺跡,集落跡,,,,,,1,,,,,,,,,,139.34980691807300,36.0901349428766
11341011100,11341,39,111,榎II遺跡,集落跡,,,,,,,1,1,,,,,,,,139.35162652775200,36.09093950397900
