JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,近代,不明,経度,緯度
11362010200,11362,47,102,下富澤遺跡,散布地,,,1,,1,,,,,,,,,,139.10485175874500,36.07593347031150
11362010300,11362,47,103,稲荷山稲福寺跡,寺院跡,,,,,,,,,,,,1,,,139.10502668715000,36.072983226157200
11362010400,11362,47,104,下根岸遺跡,散布地,,,,,1,,,,,,,,,,139.10272642443700,36.071678980807200
11362010500,11362,47,105,外久保遺跡,散布地,,,1,,,,,,,,,,,,139.09898420655100,36.07184548202590
11362010600,11362,47,106,夏内遺跡,散布地,,,1,,1,1,1,,,,,,,,139.097816908991,36.07503667509260
11362010700,11362,47,107,栗谷瀬遺跡,散布地,,,1,,1,,,,,,,1,,,139.09637495316300,36.074981176977400
11362010800,11362,47,108,下原遺跡,,,,1,,1,1,,,,,,,,,139.0959479172250,36.07249434894160
11362010900,11362,47,109,下中遺跡,散布地,,,,,,,,,,,,,,,139.10013784607200,36.068442353206000
11362011000,11362,47,110,滝沢遺跡,散布地,,,1,,,,,,,,,,,,139.10326824429700,36.066962018645400
11362011100,11362,47,111,蓑山中腹遺跡,散布地,,,1,,,,,,,,,,,,139.10616527777200,36.06701924977350
11362011200,11362,47,112,上中遺跡,散布地,,,1,,,,,,,,,,,,139.10444866531300,36.0640775075167
11362011300,11362,47,113,柳畑遺跡,散布地,,,1,,,,,,,,,,,,139.0966077823470,36.06871036182260
11362011400,11362,47,114,十三塚遺跡,散布地,,,1,,,,,,,,,,,,139.09543234115900,36.06664398595800
11362011500,11362,47,115,八幡山福王寺跡,寺院跡,,,,,,,,,,,1,1,,,139.09997234638300,36.06324319036630
11362011600,11362,47,116,虚空蔵Ⅱ遺跡,散布地,,,1,,,,,,,,,,,,139.09265142606700,36.07158366884470
11362011700,11362,47,117,虚空蔵Ⅰ遺跡,散布地,,,1,,1,,,,,,,,,,139.09164272554400,36.07065464781830
11362011800,11362,47,118,塩旌遺跡,散布地,,,1,,,,,,,,,,,,139.09069647033900,36.069968658166900
11362011900,11362,47,119,宝珠寺跡,寺院跡,,,,,,,,,,1,,,,,139.09008464936800,36.06920988433230
11362012000,11362,47,120,上和田遺跡,散布地,,,1,,,,,,,,,1,,,139.089788782804,36.06876759167880
11362012100,11362,47,121,下和田遺跡,散布地,,,1,,,,,,,,,,,,139.08911718619500,36.06686051584290
11362012200,11362,47,122,下和田古墳,古墳,,,,,1,,,,,,,,,,139.08851849031700,36.06729676804830
11362012300,11362,47,123,柳瀬古墳群,古墳,,,,,1,,,,,,,,,,139.0896383320140,36.06560216872190
11362012400,11362,47,124,坊上遺跡,散布地,,,1,,,,,,,,,,,,139.0928100234310,36.06452154865560
11362012500,11362,47,125,内出遺跡,散布地,,,1,1,1,,,,,,,1,,,139.09188305435300,36.06404975512700
11362012600,11362,47,126,本大浜遺跡,散布地,,,1,,,,,,,,,1,,,139.09399236825300,36.062947408227900
11362012700,11362,47,127,中之芝Ⅱ遺跡,散布地,,,1,,,,,,,,,,,,139.09475384157100,36.06118943460490
11362012800,11362,47,128,大塚遺跡,散布地,,,1,,,,,,,,,,,,139.097444880609,36.06035854288940
11362012900,11362,47,129,中之芝Ⅰ遺跡,散布地,,,1,,,,,,,,,,,,139.09710155916500,36.05794389823980
11362013000,11362,47,130,蓑神社境内遺跡,散布地,,,1,,,,,,,,,,,,139.11109600556600,36.06254935815390
11362013100,11362,47,131,薬師免遺跡,墓,,,,,,,,1,1,1,,,,,139.13967137691100,36.067392963382400
11362013200,11362,47,132,芳ノ入遺跡,散布地,,,1,,,,,,,,,1,,,139.13091751692300,36.06537217736730
11362013300,11362,47,133,小平Ⅰ遺跡,散布地,,,1,,,,,,,,,1,,,139.13011269917300,36.06405917851080
11362013400,11362,47,134,小平Ⅱ遺跡,散布地,,,1,,,,,,,,,1,,,139.12968672514500,36.06306559438270
11362013500,11362,47,135,反町遺跡,散布地,,,1,,,,,,,,,,,,139.1295144794100,36.05637094341260
11362013600,11362,47,136,大日影遺跡,散布地,,,1,,,,,,,,,,,,139.1283331424400,36.056083357776900
11362013700,11362,47,137,六地蔵遺跡,散布地,,,1,,,,,,,,,,,,139.13078684559400,36.0469587948465
11362013800,11362,47,138,道本様入定塚,その他,,,,,,,,,,,,,,,139.1333253601450,36.04143682892230
11362013900,11362,47,139,森王山大泉院跡,寺院跡,,,,,,,,,,,1,,,,139.13536667583400,36.039907583088000
11362014000,11362,47,140,広町遺跡,散布地,,,1,,,,,,,,,,,,139.12913500217500,36.042146839758700
11362014100,11362,47,141,丑沢経塚,経塚,,,,,,,,,,,,,,,139.12645708314600,36.042025003873700
11362014200,11362,47,142,岩鼻遺跡,集落跡,,,1,,,,,,,,,1,,,139.08371156406600,36.09053527804280
11362014300,11362,47,143,金洞寺跡,寺院跡,,,,,,,,,,,,1,,,139.02656297306200,36.08127259289570
11362014400,11362,47,144,光福寺跡,寺院跡,,,,,,,,,,,1,1,,,139.0326807964090,36.08592514992470
11362014500,11362,47,145,菅ヌタ岩隆遺跡,その他,,,1,,,,,,,,,,,,139.03205596016500,36.09730691270720
11362014600,11362,47,146,良泉寺跡,寺院跡,,,,,,,,,,,1,1,,,139.04702318854900,36.0907711558708
11362014700,11362,47,147,養命寺跡,寺院跡,,,,,,,,,,,1,,,,139.05505250384100,36.09158665246330
11362014800,11362,47,148,山中遺跡,散布地,,,1,,,,,,,,,,,,139.06605036141400,36.06610802741210
11362014900,11362,47,149,神巻Ⅰ遺跡,散布地,,,1,,1,,,,,,,,,,139.06920893101200,36.064970183834300
11362015000,11362,47,150,薬王寺開基墓,墓,,,,,,,,,,,1,,,,139.07324105124500,36.066450871988800
11362015100,11362,47,151,神巻Ⅱ遺跡,散布地,,,1,,1,,,,,,,,,,139.07156766949100,36.06507725229040
11362015200,11362,47,152,牧原遺跡,散布地,,,1,,,,1,,,,,,,,139.0714646729270,36.06374512335360
11362015300,11362,47,153,沢ノ西遺跡,散布地,,,,,,,,,,,,1,,,139.07558188899600,36.06580706782830
11362015400,11362,47,154,前原遺跡,散布地,,,1,,1,,,,,,,1,,,139.08268288614700,36.06695029981130
11362015500,11362,47,155,山ノ根遺跡,散布地,,,1,,1,,,,,,,,,,139.0869175141070,36.07287399243160
11362015600,11362,47,156,上ノ台遺跡,散布地,,,1,,,,,,,,,,,,139.08751498772400,36.07442811589870
11362015700,11362,47,157,下殿遺跡,散布地,,,1,,1,,,,,,,,,,139.09069406440000,36.07551017022710
11362015800,11362,47,158,上殿遺跡,散布地,,,1,,,,,,,,,,,,139.08978091868500,36.07631503676270
11362015900,11362,47,159,上の平遺跡,散布地,,,1,,1,,,,,,,,,,139.09079705965500,36.079788833683300
11362016000,11362,47,160,下口遺跡,散布地,,,1,,1,,,,,,,,,,139.08509790246400,36.08164787973760
11362016100,11362,47,161,峯岸遺跡,散布地,,,1,,1,,,,,,,,,,139.08666413988000,36.08411240312790
11362016200,11362,47,162,根古屋Ⅱ遺跡,散布地,,,,,1,,,,,,1,,,,139.07771646325500,36.08525485405700
11362016300,11362,47,163,三軒屋遺跡,散布地,,,1,,,,,,,,,,,,139.08533123383100,36.098957166751800
11362016400,11362,47,164,宮地墓地,墓,,,,,,,,,,,1,,,,139.08159601011200,36.08303519795070
11362016500,11362,47,165,正法寺観音堂跡,寺院跡,,,,,,,,1,1,1,,,,,139.0789454298230,36.09867976126830
11362016600,11362,47,166,伝西光寺跡,寺院跡,,,,,,,,,,,1,,,,139.08079937321800,36.103229087944600
11362016700,11362,47,167,竹平遺跡,散布地,,,1,,,,,,,,,,,,139.07069853874000,36.11436702313510
11362016800,11362,47,168,クゾウロ遺跡,散布地,,,1,,1,,1,,,,,,,,139.0686355636080,36.113621241766400
11362016900,11362,47,169,祥雲寺跡,寺院跡,,,,,,,,,,1,1,,,,139.06218359597400,36.11822256843220
11362017000,11362,47,170,大龍寺跡,寺院跡,,,,,,,,,,,1,,,,139.06376534376100,36.08612455961520
11362017100,11362,47,171,青柳半洞窟遺跡,その他,,,,,,,,,,,,1,,,139.07619884779200,36.09890168658000
11362017200,11362,47,172,橋爪遺跡,散布地,,,1,,,,,,,,,,,,139.08079937321800,36.099900338493200
11362017300,11362,47,173,ぎぎゅう堂跡,寺院跡,,,,,,,,,,1,,,,,139.07846477875300,36.104283162324300
11362017400,11362,47,174,中割遺跡,散布地,,,1,,1,,,,,,,1,,,139.09074222213400,36.08261369213580
11362017500,11362,47,175,大椚遺跡,散布地,,,,,1,1,1,,,,,,,,139.0877971047060,36.083418756585300
11362017600,11362,47,176,諏訪平遺跡,散布地,,,,,,,,,,,,,,,139.0792887525770,36.10481019473960
11362017700,11362,47,177,新平Ⅱ遺跡,散布地,,,1,,,,,,,,,,,,139.08035305390000,36.10159247105670
11362017800,11362,47,178,辻原遺跡,集落跡,,,1,,1,1,,,,,,,,,139.1083471780450,36.07970253153560
11362017900,11362,47,179,稲穂山古墳,古墳,,,,,1,,,,,,,,,,139.1004186643920,36.060606602502200
11362018000,11362,47,180,下和田Ⅱ遺跡,集落跡,,,1,,1,,,,,,,,,,139.08761272789700,36.06729503964130
