"JASID","自治体コード","区市町村名","遺跡番号","遺跡名","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11209004700,11209,"飯能市","47","大河原森下遺跡","集落跡",35.8550499471172,139.30781721998,0,0,0,0,0,1,0,0,NA,0
11209004700,11209,"飯能市","47","大河原森下遺跡","集落跡",35.8550499471172,139.30781721998,0,0,0,0,0,1,0,0,NA,0
11209004800,11209,"飯能市","48","宮林遺跡","集落跡",35.7980465969624,139.417118958929,0,1,0,1,1,1,0,0,NA,0
11209004800,11209,"飯能市","48","宮林遺跡","集落跡",35.7980465969624,139.417118958929,0,1,0,1,1,1,1,0,NA,0
11209004900,11209,"飯能市","49","寺前遺跡","集落跡",35.7919201635392,139.438710146253,0,1,0,1,1,1,0,0,NA,0
11209004900,11209,"飯能市","49","寺前遺跡","集落跡",35.7919201635392,139.438710146253,0,1,0,1,1,1,0,0,NA,0
11209005800,11209,"飯能市","58","中村前遺跡","集落跡",35.7826005580094,139.441317765413,0,1,0,1,1,1,0,0,NA,0
11209005800,11209,"飯能市","58","中村前遺跡","集落跡",35.7826005580094,139.441317765413,0,1,0,1,1,1,0,0,NA,0
11209006300,11209,"飯能市","63","河原毛久保窯跡","窯跡",35.8672207158518,139.308547356765,0,0,0,0,1,1,0,0,NA,0
11209006300,11209,"飯能市","63","河原毛久保窯跡","窯跡",35.8672207158518,139.308547356765,0,0,0,0,1,1,0,0,NA,0
11209006500,11209,"飯能市","65","並久保遺跡","集落跡",35.8596370463469,139.333212951992,0,1,0,0,0,1,0,0,NA,0
11209006500,11209,"飯能市","65","並久保遺跡","集落跡",35.8596370463469,139.333212951992,0,1,0,0,0,1,0,0,NA,0
11209006600,11209,"飯能市","66","野竹遺跡忠近世墳墓","集落跡 その他",35.7802972656218,139.456289141718,0,1,0,1,0,1,1,1,NA,0
11209006600,11209,"飯能市","66","野竹遺跡忠近世墳墓","集落跡 その他",35.7802972656218,139.456289141718,0,1,0,1,0,1,0,1,NA,0
11209006600,11209,"飯能市","66","堂前遺跡","集落跡",35.8608447766496,139.3316665822,0,1,0,0,0,1,1,0,NA,0
11209006600,11209,"飯能市","66","堂前遺跡","集落跡",35.8608447766496,139.3316665822,0,1,0,0,0,1,0,0,NA,0
11209007000,11209,"飯能市","70","河原毛久保遺跡","散布地",35.8664065639436,139.30860027814,0,0,0,0,0,1,1,0,NA,0
11209007000,11209,"飯能市","70","河原毛久保遺跡","散布地",35.8664065639436,139.30860027814,0,0,0,0,0,1,0,0,NA,0
11209007100,11209,"飯能市","71","山ノ内遺跡","集落跡",35.855606802113,139.338728671132,0,1,0,0,0,1,0,0,NA,0
11209007100,11209,"飯能市","71","山ノ内遺跡","集落跡",35.855606802113,139.338728671132,0,1,0,0,0,1,0,0,NA,0
11209007300,11209,"飯能市","73","新光遺跡","集落跡",35.854251651119,139.345276368697,0,1,0,0,0,1,0,0,NA,0
11209007300,11209,"飯能市","73","新光遺跡","集落跡",35.854251651119,139.345276368697,0,1,0,0,0,1,0,0,NA,0
11209007500,11209,"飯能市","75","株木遺跡","集落跡",35.8658248485015,139.342688482215,0,1,0,0,1,1,0,0,NA,0
11209007500,11209,"飯能市","75","株木遺跡","集落跡",35.8658248485015,139.342688482215,0,1,0,0,1,1,0,0,NA,0
11209007600,11209,"飯能市","76","猪野遺跡","集落跡",35.8697086779894,139.345121611465,0,0,0,0,1,1,0,0,NA,0
11209007600,11209,"飯能市","76","猪野遺跡","集落跡",35.8697086779894,139.345121611465,0,0,0,0,1,1,0,0,NA,0
11209007700,11209,"飯能市","77","ヤタリ遺跡","集落跡",35.8689940041452,139.358031542934,0,1,0,0,1,1,0,0,NA,0
11209007700,11209,"飯能市","77","ヤタリ遺跡","集落跡",35.8689940041452,139.358031542934,0,1,0,0,1,1,0,0,NA,0
11209007800,11209,"飯能市","78","糀ヶ谷戸遺跡","集落跡",35.8691324699718,139.354041838123,0,1,0,1,1,1,0,0,NA,0
11209007800,11209,"飯能市","78","糀ヶ谷戸遺跡","集落跡",35.8691324699718,139.354041838123,0,1,0,1,1,1,0,0,NA,0
11209007900,11209,"飯能市","79","中原遺跡","集落跡",35.8709212907191,139.350920524677,0,1,0,1,1,1,0,0,NA,0
11209007900,11209,"飯能市","79","中原遺跡","集落跡",35.8709212907191,139.350920524677,0,1,0,1,1,1,0,0,NA,0
11209008400,11209,"飯能市","84","尾渕遺跡","集落跡",35.8613756286818,139.336223042181,1,1,0,0,1,1,0,0,NA,0
11209008500,11209,"飯能市","85","小原遺跡","集落跡",35.8709769314229,139.35426791236,0,0,0,0,1,1,0,0,NA,0
11209008600,11209,"飯能市","86","左別当遺跡","集落跡",35.8716446274345,139.356636839231,0,1,0,0,1,1,0,0,NA,0
11209008800,11209,"飯能市","88","古原遺跡","集落跡",35.8765714015476,139.363156846432,0,1,0,0,1,1,0,0,NA,0
11209009000,11209,"飯能市","90","所沢市No.80遺跡","集落跡",35.7972996727673,139.495270121456,0,0,0,1,1,1,0,0,NA,0
11209009000,11209,"飯能市","90","所沢市No.80遺跡","集落跡",35.7972996727673,139.495270121456,0,0,0,1,1,1,0,0,NA,0
11209009000,11209,"飯能市","90","所沢市No.80遺跡","集落跡",35.7972996727673,139.495270121456,0,0,0,1,1,1,0,0,NA,0
11209009100,11209,"飯能市","91","新井原遺跡","集落跡",35.8469560893469,139.327187398276,0,0,0,0,1,1,0,0,NA,0
11209009100,11209,"飯能市","91","新井原遺跡","集落跡",35.8469560893469,139.327187398276,0,0,0,0,1,1,0,0,NA,0
11209009100,11209,"飯能市","91","新井原遺跡","集落跡",35.8469560893469,139.327187398276,0,0,0,0,1,1,1,0,NA,0
11209009300,11209,"飯能市","93","南山遺跡","集落跡",35.799914688117,139.49121616651,0,1,0,0,1,1,0,0,NA,0
11209009300,11209,"飯能市","93","南山遺跡","集落跡",35.799914688117,139.49121616651,0,1,0,0,1,1,0,0,NA,0
11209009300,11209,"飯能市","93","南山遺跡","集落跡",35.799914688117,139.49121616651,0,1,0,0,1,1,0,0,NA,0
11209009400,11209,"飯能市","94","東原遺跡","集落跡",35.8777092711296,139.368172483893,0,1,0,0,1,1,0,0,NA,0
11209009400,11209,"飯能市","94","東原遺跡","集落跡",35.8777092711296,139.368172483893,0,1,0,0,1,1,0,0,NA,0
11209009400,11209,"飯能市","94","東原遺跡","集落跡",35.8777092711296,139.368172483893,0,1,0,0,1,1,0,0,NA,0
11209009500,11209,"飯能市","95","西原遺跡","集落跡",35.8759590051437,139.361216759924,0,1,0,0,1,1,0,0,NA,0
11209009500,11209,"飯能市","95","西原遺跡","集落跡",35.8759590051437,139.361216759924,0,1,0,0,1,1,0,0,NA,0
11209009500,11209,"飯能市","95","西原遺跡","集落跡",35.8759590051437,139.361216759924,0,1,0,0,1,1,0,0,NA,0
11209009700,11209,"飯能市","97","森ノ木遺跡","集落跡",35.8355092354609,139.332730419327,0,1,0,0,0,1,0,0,NA,0
11209009700,11209,"飯能市","97","森ノ木遺跡","集落跡",35.8355092354609,139.332730419327,0,1,0,0,0,1,0,0,NA,0
11209009700,11209,"飯能市","97","森ノ木遺跡","集落跡",35.8355092354609,139.332730419327,0,1,0,0,0,1,0,0,NA,0
11209009900,11209,"飯能市","99","甲新田遺跡","集落跡",35.8633454025917,139.345944096471,0,1,0,0,1,1,0,0,NA,0
11209009900,11209,"飯能市","99","甲新田遺跡","集落跡",35.8633454025917,139.345944096471,0,1,0,0,1,1,0,0,NA,0
11209009900,11209,"飯能市","99","甲新田遺跡","集落跡",35.8633454025917,139.345944096471,0,1,0,0,1,1,0,0,NA,0
11209010100,11209,"飯能市","101","所沢市No.101遺跡","集落跡",35.7798546656406,139.407041027985,1,1,0,0,1,1,0,0,NA,0
11209010100,11209,"飯能市","101","所沢市No.101遺跡","集落跡",35.7798546656406,139.407041027985,1,1,0,0,1,1,0,0,NA,0
11209010100,11209,"飯能市","101","原遺跡","集落跡",35.873233076004,139.359723619547,0,1,0,0,1,1,0,0,NA,0
11209010100,11209,"飯能市","101","原遺跡","集落跡",35.873233076004,139.359723619547,0,1,0,0,1,1,0,0,NA,0
11209010200,11209,"飯能市","102","小久保向原遺跡","集落跡",35.8618985721058,139.342270542742,0,1,0,0,1,1,0,0,NA,0
11209010200,11209,"飯能市","102","小久保向原遺跡","集落跡",35.8618985721058,139.342270542742,0,1,0,0,1,1,0,0,NA,0
11209010300,11209,"飯能市","103","栗木田向遺跡","集落跡",35.8635484393924,139.348551597806,0,1,0,0,1,1,0,0,NA,0
11209010300,11209,"飯能市","103","栗木田向遺跡","集落跡",35.8635484393924,139.348551597806,0,1,0,0,1,1,0,0,NA,0
11209010500,11209,"飯能市","105","所沢市No.105遺跡","集落跡",35.7884615603376,139.386366852418,0,1,0,1,1,1,0,0,NA,0
11209010500,11209,"飯能市","105","所沢市No.105遺跡","集落跡",35.7884615603376,139.386366852418,0,1,0,1,1,1,0,0,NA,0
11209010500,11209,"飯能市","105","後際遺跡","集落跡",35.843403728924,139.328505487674,0,1,0,0,0,1,0,0,NA,0
11209010500,11209,"飯能市","105","後際遺跡","集落跡",35.843403728924,139.328505487674,0,1,0,0,0,1,0,0,NA,0
11209010600,11209,"飯能市","106","北久米遺跡","旧石器 集落跡",35.785098577413,139.396323210971,0,1,0,1,1,1,0,0,NA,0
11209010600,11209,"飯能市","106","北久米遺跡","旧石器 集落跡",35.785098577413,139.396323210971,0,1,0,1,1,1,0,0,NA,0
11209010700,11209,"飯能市","107","東内手遺跡","集落跡",35.7859849527683,139.398709095639,0,1,0,1,1,1,0,0,NA,0
11209010700,11209,"飯能市","107","東内手遺跡","集落跡",35.7859849527683,139.398709095639,0,1,0,1,1,1,0,0,NA,0
11209010900,11209,"飯能市","109","本村遺跡","集落跡",35.7878725141443,139.399776974003,0,1,0,1,1,1,0,0,NA,0
11209010900,11209,"飯能市","109","本村遺跡","集落跡",35.7878725141443,139.399776974003,0,1,0,1,1,1,0,0,NA,0
11209010900,11209,"飯能市","109","本村遺跡","集落跡",35.7878725141443,139.399776974003,0,1,0,1,1,1,0,0,NA,0
11209010900,11209,"飯能市","109","岱谷遺跡","集落跡",35.7928564462874,139.402642018861,0,0,0,0,1,1,0,0,NA,0
11209010900,11209,"飯能市","109","岱谷遺跡","集落跡",35.7928564462874,139.402642018861,0,0,0,0,1,1,0,0,NA,0
11209010900,11209,"飯能市","109","岱谷遺跡","集落跡",35.7928564462874,139.402642018861,0,0,0,0,1,1,0,0,NA,0
11209011000,11209,"飯能市","110","西椿峰遺跡","集落跡 散布地",35.791001046099,139.413890268827,0,1,0,1,1,1,0,0,NA,0
11209011000,11209,"飯能市","110","西椿峰遺跡","集落跡 散布地",35.791001046099,139.413890268827,0,1,0,1,1,1,0,0,NA,0
11209011000,11209,"飯能市","110","六道遺跡","散布地",35.847042025448,139.331443661519,0,1,0,0,0,1,0,0,NA,0
11209011000,11209,"飯能市","110","六道遺跡","散布地",35.847042025448,139.331443661519,0,1,0,0,0,1,0,0,NA,0
11209011100,11209,"飯能市","111","六所脇遺跡","集落跡",35.7897891220696,139.400096245405,0,1,0,0,1,1,0,0,NA,0
11209011100,11209,"飯能市","111","六所脇遺跡","集落跡",35.7897891220696,139.400096245405,0,1,0,0,1,1,1,0,NA,0
11209011100,11209,"飯能市","111","榎戸遺跡","集落跡",35.8455392362355,139.329658382936,0,0,0,0,1,1,0,0,NA,0
11209011100,11209,"飯能市","111","榎戸遺跡","集落跡",35.8455392362355,139.329658382936,0,0,0,0,1,1,1,0,NA,0
11209011400,11209,"飯能市","114","ヨマキ遺跡","集落跡",35.8583318115611,139.227456705171,0,1,0,0,0,1,0,0,NA,0
11209011400,11209,"飯能市","114","ヨマキ遺跡","集落跡",35.8583318115611,139.227456705171,0,1,0,0,0,1,0,0,NA,0
11209011600,11209,"飯能市","116","上町東遺跡","集落跡",35.861561520027,139.318935563978,0,1,0,0,0,1,0,0,NA,0
11209011600,11209,"飯能市","116","上町東遺跡","集落跡",35.861561520027,139.318935563978,0,1,0,0,0,1,0,0,NA,0
11209011900,11209,"飯能市","119","菅沢遺跡","集落跡",35.8344012017765,139.333169330894,0,0,0,0,1,1,0,0,NA,0
11209011900,11209,"飯能市","119","菅沢遺跡","集落跡",35.8344012017765,139.333169330894,0,0,0,0,1,1,0,0,NA,0
