"JASID","自治体コード","区市町村名","遺跡番号","遺跡名","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11245302200,11245,"ふじみ野市","22","浄禅寺跡遺跡","集落跡　寺院跡",35.8611030485103,139.532300566765,1,0,0,0,0,0,1,1,NA,0
11245302400,11245,"ふじみ野市","24","東台遺跡","集落跡　その他（製鉄遺跡）",35.8501489920263,139.524935977737,1,0,0,0,1,1,1,1,NA,0
11245303200,11245,"ふじみ野市","32","東久保南遺跡","集落跡",35.8580659001535,139.516403902823,1,1,0,0,0,0,0,1,NA,0
11245303400,11245,"ふじみ野市","34","本村遺跡","集落跡",35.8523748298456,139.521871470685,1,0,0,0,0,0,1,1,NA,0
11245303700,11245,"ふじみ野市","37","大井氏館跡遺跡・大井戸遺跡","集落跡",35.8503748045079,139.517851792603,1,0,0,0,0,0,1,1,NA,0
11245303900,11245,"ふじみ野市","39","西台遺跡","集落跡",35.8470198100148,139.517493603467,1,0,0,0,1,1,0,1,NA,0
11245304000,11245,"ふじみ野市","40","小田久保遺跡","集落跡",35.8488908821424,139.514070907279,1,0,0,0,0,0,1,1,NA,0
11245304100,11245,"ふじみ野市","41","神明後遺跡","集落跡",35.8600657314804,139.528104747932,1,1,0,0,1,1,1,1,NA,0
11245304200,11245,"ふじみ野市","42","東久保西遺跡","集落跡",35.8622590368587,139.514374164386,1,1,0,0,0,0,0,1,NA,0
11245304400,11245,"ふじみ野市","44","中沢前遺跡","集落跡",35.858130411629,139.522692112099,1,1,0,0,0,0,0,1,NA,0
11245304500,11245,"ふじみ野市","45","江川東遺跡","集落跡",35.8646780532885,139.514453761972,0,0,0,0,1,1,0,1,NA,0
11245304800,11245,"ふじみ野市","48","大井宿木戸跡","その他（宿場跡）",35.845858432697,139.520000927419,0,0,0,0,0,0,0,1,1,0
11324002200,11324,"三芳町","22","三富開拓地割遺跡","その他",35.8310037914929,139.500909940832,0,0,0,0,0,0,0,1,NA,0
11326012000,11326,"毛呂山町","120","山根六角塔遺跡","その他",35.9151756908295,139.308343070208,0,0,0,0,0,0,1,1,NA,0
11326012100,11326,"毛呂山町","121","タマキ遺跡","その他",35.959488800112,139.354135535841,0,0,0,0,0,0,1,1,NA,0
11341006600,11341,"滑川町","66","羽尾遺跡","城跡",36.0525586629418,139.3787467189,0,0,0,0,0,0,0,1,NA,0
11342006500,11342,"嵐山町","65","石橋坊跡","寺院跡",36.0231519086824,139.305763205504,0,0,0,0,0,0,1,1,NA,0
11346002100,11346,"川島町","21","元宿遺跡","集落跡",35.9869535300366,139.499495927562,0,0,0,1,1,1,1,1,NA,0
11346002500,11346,"川島町","25","平沼一丁田遺跡","集落跡",35.984828284518,139.472966488833,0,0,0,1,0,0,0,1,NA,0
11347008700,11347,"吉見町","87","下遺跡","集落跡",36.0384317513948,139.431977688281,0,0,0,1,1,0,0,1,NA,0
11347010900,11347,"吉見町","109","七ノ谷遺跡","集落跡",36.0373065383231,139.446094315713,0,1,1,1,0,0,1,1,NA,0
11347011900,11347,"吉見町","119","中曽根遺跡","集落跡",36.074897638073,139.442403980033,0,0,0,0,1,1,1,1,NA,0
11348004600,11348,"鳩山町","46","石田遺跡","集落跡 窯跡",35.9880144542367,139.339333077206,0,0,0,0,1,1,1,1,NA,0
11348007600,11348,"鳩山町","76","小路谷遺跡","集落跡",35.9696234795406,139.343005397554,0,1,0,0,1,1,1,1,NA,0
11348007700,11348,"鳩山町","77","天神台遺跡","集落跡 寺院跡 散布地",35.9688737888215,139.344310101062,0,1,0,0,1,1,1,1,NA,0
11348007800,11348,"鳩山町","78","天神台東遺跡","集落跡",35.9690345155665,139.346438628206,0,1,1,0,1,1,1,1,NA,0
11348018200,11348,"鳩山町","182","虫草山遺跡","集落跡 窯跡",35.9998657859747,139.338139644572,0,1,0,0,1,1,0,1,NA,0
11348019800,11348,"鳩山町","198","南櫛気田A遺跡","集落跡 窯跡",35.9795209549405,139.317401355665,0,1,0,0,0,0,0,1,NA,0
