"JASID","LGC","Admin_no","Site_no","SiteName","SiteType","Note","P","J","Y","K","N","H","Ka","Na","Mu","Se","E","D","U","Lon","Lat"
11341004400,11341,39,44,"笹山遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3719499,36.08026142
11341004500,11341,39,45,"後谷古墳群","集落跡 古墳群","",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.369169,36.08070537
11341004300,11341,39,43,"後谷遺跡","集落跡","",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,139.3721216,36.08231467
11341003000,11341,39,30,"本納地遺跡","集落跡","",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3720186,36.08725337
11341005900,11341,39,59,"丸山I遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3806847,36.06124378
11341005800,11341,39,58,"長淵遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3753001,36.06299068
11341004900,11341,39,49,"新井遺跡","集落跡","",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3771197,36.07328644
11341020900,11341,39,209,"早稲田遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3672048,36.0641397
11341020800,11341,39,208,"悪戸遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3656395,36.06344784
11341021200,11341,39,212,"市場II遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3632566,36.06438401
11341021100,11341,39,211,"市場遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3639827,36.06256156
11341021000,11341,39,210,"大道III遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3642574,36.06136816
11341021300,11341,39,213,"唐子遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.362055,36.06244676
11341020200,11341,39,202,"大谷V遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3629959,36.06081126
11341008000,11341,39,80,"山田遺跡","集落跡 城跡","",NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,139.3657891,36.06939662
11341008100,11341,39,81,"城山遺跡","古墳","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3647202,36.06970824
11341006100,11341,39,61,"水深遺跡","集落跡","",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3748953,36.06074832
11341020600,11341,39,206,"蔵ノ前遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3676855,36.06161415
11341005500,11341,39,55,"山王西遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3717076,36.06281116
11341020700,11341,39,207,"小江戸遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.368056,36.06201931
11341005700,11341,39,57,"山王III遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3736732,36.06317031
11341005600,11341,39,56,"山王II遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3724375,36.06347544
11341005200,11341,39,52,"追越遺跡","集落跡","",NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3748826,36.0685982
11341005300,11341,39,53,"根岸遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3701714,36.06805471
11341005400,11341,39,54,"山王遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3719569,36.06600093
11341020400,11341,39,204,"大道遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3654539,36.05978239
11341020100,11341,39,201,"大谷IV遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3615057,36.06008222
