JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13115016500,13115,165,,杉並区No.165遺跡,杉並区 高円寺南一丁目,[縄文時代（中期）][古墳時代],包蔵地,,縄文土器　土師器,139.6561528,35.69915883,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115016600,13115,166,,杉並区No.166遺跡,杉並区 高円寺南一丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器　土師器,139.6601697,35.69809935,,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13115016700,13115,167,,杉並区No.167遺跡,杉並区 永福二丁目,[縄文時代（中期）][古墳時代],包蔵地,,縄文土器　土師器,139.6373202,35.67348761,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115016800,13115,168,,杉並区No.168遺跡,杉並区 永福一丁目,[縄文時代（早期〜中期）][古墳時代][奈良時代][平安時代][近世],包蔵地,,縄文土器　土師器　須恵器,139.6440401,35.67227754,,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13115016900,13115,169,,杉並区No.169遺跡,杉並区 永福一丁目,[縄文時代],包蔵地,,縄文土器,139.6474734,35.67266801,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115017000,13115,170,,杉並区No.170遺跡,杉並区 和泉二丁目　 和泉四丁目,[縄文時代（早期〜前期）],包蔵地,,縄文土器,139.6508164,35.67780844,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115017100,13115,171,がっけいせき,崕遺跡,杉並区 和泉一丁目　 和泉四丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代][近世],包蔵地・集落,[近世]竪穴式遺構　土坑　墓壙　溝　柱穴列　道路状遺構　半地下倉庫,尖頭器　スタンプ形石器　敲石　縄文土器　土師器　須恵器　陶磁器　土器　炉器　瓦　銭貨　金属製品　石製品　土製品　木製品,139.655284,35.67695106,,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13115017200,13115,172,,杉並区No.172遺跡,杉並区 和泉四丁目,[古墳時代][近世],包蔵地,,土師器　陶磁器,139.6519538,35.68138524,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13115017300,13115,173,うえはらいせき,上原遺跡,杉並区 和泉三丁目,[縄文時代（早期〜前期）][古墳時代][近世],包蔵地・集落,[古墳時代]住居　[近世]溝,縄文土器　石器　土師器,139.6507749,35.68209266,,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13115017400,13115,174,ほんむらはらいせき,本村原遺跡,杉並区 和田一丁目,[縄文時代（早期〜前期・後期）][弥生時代（後期）][古墳時代][中世][近世],包蔵地,[縄文時代]ユニット　集石　土坑,縄文土器　打斧　石鏃　磨石　弥生土器　土師器　須恵器　円筒埴輪　陶磁器,139.6624767,35.69272395,,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13115017500,13115,175,ほんむらはらいせきびーちてん,本村原遺跡B地点,杉並区 和田一丁目,[縄文時代（早期〜中期）][弥生時代（後期）][近世],集落,[弥生時代]住居,縄文土器　弥生土器,139.662923,35.6919711,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13115017600,13115,176,かまくらばしうえいせき,鎌倉橋上遺跡,杉並区 浜田山一丁目　 浜田山二丁目,[旧石器時代][縄文時代（早期〜後期）]　[弥生時代（後期）][古墳時代][中世][近世],集落,[旧石器時代]礫群　ブロック　[縄文時代]住居　土坑　[弥生時代]住居　環濠,細石器　細石刃　ナイフ形石器　角錐状石器　スクレイパー　石刃　石核　細石核　縄文土器　尖頭器　打製石斧　石匙　磨石　土偶　弥生土器　石器　ミニチュア土器　被熱粘土塊　陶磁器　銭貨　鉄鏃　土師器,139.6274325,35.67714111,,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13115017700,13115,177,しのみやいせき,四宮遺跡,杉並区 今川二丁目,[縄文時代（早期）],包蔵地,[縄文時代]集石,縄文土器,139.6105302,35.71796272,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115017800,13115,178,かまくらばしうえいせきしーちてん,鎌倉橋上遺跡C地点,杉並区 浜田山一丁目,[縄文時代（草創期・中期）],集落,[縄文時代]土坑　住居跡,縄文土器　石鏃,139.6294924,35.67758732,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115017900,13115,179,かいどうづきいせき,街道附遺跡,杉並区 荻窪五丁目,[縄文時代（中期）][近世],集落,[縄文時代]住居跡　[近世]溝状遺構,土器　石器,139.6163976,35.70402626,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13115018000,13115,180,たかちほだいがくおおみやいせき,高千穂大学大宮遺跡,杉並区 大宮二丁目,[旧石器時代][縄文時代（早期・中期）][古墳時代][中世],集落・古墳,[旧石器時代]礫群　ブロック　[縄文時代]陥し坑　土坑　[古墳時代]円墳（周溝）　住居　[中世]溝状遺構　溝　土坑,剥片　縄文土器　土師器　埴輪　鉄製品　陶磁器,139.6376941,35.68312,,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13115018100,13115,181,どうのうえいせき,堂の上遺跡,杉並区 浜田山二丁目,[旧石器時代][縄文時代（中期）],集落,[旧石器時代]ユニット　[縄文時代]住居跡,石核　ナイフ形石器　スクレイパー　台石　縄文土器,139.6254375,35.67740305,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115018300,13115,183,おそのいいせきびーちてん,遅ノ井遺跡B地点,杉並区 上井草二丁目,[旧石器時代],包蔵地,[旧石器時代]ブロック,[旧]ナイフ形石器　錘状石器　斧状石器　敲石　石核　剥片,139.6094299,35.72437329,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115018400,13115,184,むこうやまだいしょうじざかいせき,向山大聖寺坂遺跡,杉並区 堀ノ内一丁目,[旧石器時代][縄文時代（草創期〜早期）],包蔵地,[旧石器時代]礫群　[縄文時代]石器集中部　礫集中部　炉穴　土坑　焼土集中部,縄文土器　石器,139.6487347,35.68465179,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115018500,13115,185,ねがわらいせきびーちてん,根河原遺跡B地点,杉並区 和泉四丁目,[旧石器時代][縄文時代（早期〜後期）][弥生時代][中世][近世],包蔵地,[縄文時代]礫集中部,縄文土器　弥生土器　土師器　石器　陶器　土製品　ガラス製品,139.6492415,35.67842914,,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13115018600,13115,186,しらはたいせき,白幡遺跡,杉並区 成田東二丁目,[旧石器時代],包蔵地,[旧石器時代]ブロック　礫群　炭化物集中部,[旧石器時代]ナイフ形石器　台形様石器　錐状石器　楔形石器　彫器　スクレイパー　剥片　石核　局部磨製石斧,139.6341235,35.69056537,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115018700,13115,187,せいびだいいせきびーちてん,済美台遺跡B地点,杉並区 大宮一丁目,[縄文時代（中期〜晩期）]［弥生時代（後期）］,包蔵地,溝、落ち込み、木列に伴う遺物集中部、ピット、土坑,縄文土器　打製石斧　弥生土器　種子　礫　陶器　不明土器,139.6452815,35.68880866,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115018800,13115,188,てきがいそう（このえふみまろてい）いせき,荻外荘（近衞文麿邸）遺跡,杉並区 荻窪二丁目,縄文　その他（近代）,包蔵地　その他（邸宅）,[近代]池掘り込み、護岸、コンクリート製建物基礎、砂利敷遺構（車回し）、斜面地土留め、コンクリート構造物、瓦組遺構、建物基礎、コンクリート製浄化槽、石組構造物、煉瓦遺構,縄文土器、陶磁器、瓦、タイル、土管、碍子、煉瓦、ガラス製品、金属製品,139.622321,35.69898747,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
