JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13110001300,13110,13,はちまんじんじゃうらいせき,八幡神社裏遺跡,目黒区 中目黒三丁目,[縄文時代（中期〜後期）],包蔵地,,縄文土器　打斧　石匙　石皿　玉類,139.6997201,35.63989954,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110001400,13110,14,えいりゅうじとうほういせき,永隆寺東方遺跡,目黒区 中目黒四丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧　磨斧　石鏃　石錐　石皿　凹石　石棒,139.70281,35.63666288,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110001500,13110,15,なかめぐろいせき,中目黒遺跡,目黒区 中目黒四丁目　中目黒五丁目　目黒三丁目,[旧石器時代][縄文時代（早期〜後期）][中世][近世],集落,[旧石器時代]礫群　石器群　石器ブロック　[縄文時代]住居　土坑[近世]溝状遺構　畝状遺構　落とし穴状遺構,ナイフ形石器　尖頭器　角錐状石器　掻器　剥片　縄文土器　打斧　礫器　石鏃　石槌　石皿　スタンプ形石器　敲石　煙管　磨石　火打石　土器片錘　陶磁器　土製円盤　瓦　石刃　凹石　磨製石斧,139.7015397,35.63607692,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13110001600,13110,16,ゆうてんじとうほういせき,祐天寺東方遺跡,目黒区 中目黒五丁目,[縄文時代（中期）],包蔵地,,縄文土器　石棒,139.697983,35.635895,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110001700,13110,17,きゅうこんぴらしゃいせき,旧金比羅社遺跡,目黒区 目黒三丁目,[縄文時代],包蔵地,,打斧,139.7054879,35.63275639,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110001800,13110,18,おおつかやまこふん,大塚山古墳,目黒区 目黒四丁目,[古墳時代],古墳,円墳,,139.701523,35.632854,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110001900,13110,19,がじょえんいせき,雅叙園遺跡,目黒区 下目黒一丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧,139.7136411,35.63236011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110002000,13110,20,めぐろふどういせき,目黒不動遺跡,目黒区 下目黒三丁目　下目黒四丁目,[縄文時代（早期〜後期）][弥生時代（後期）],集落,[縄文時代]住居　集石　土坑　[弥生時代]住居,縄文土器　土器片錘　打製石斧　石鏃　石錘　土版　弥生土器,139.7075822,35.62857065,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110002100,13110,21,きゅうけいばじょういせき,旧競馬場遺跡,目黒区 下目黒四丁目,[縄文時代（中期）],包蔵地,,縄文土器　石斧　石槌,139.7057626,35.63130536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110002200,13110,22,あぶらめんいせき,油面遺跡,目黒区 中町一丁目　中町二丁目　中央町一丁目　中央町二丁目,[縄文時代（中期〜後期）][近世],集落,[縄文時代]住居　小穴,縄文土器　打斧　石鏃　石匙　石錐　石槌　石皿　凹石　玉類　大形玉器　石棒　石剣　陶磁器　楔形石器　剥片　敲石　スタンプ形石器　磨製石斧　滑石製装飾品　土製円盤　土器片錘　銭貨,139.6955316,35.63208669,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13110002300,13110,23,めぐろこうこううらいせき,目黒高校裏遺跡,目黒区 祐天寺二丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧　磨斧　石槌,139.693815,35.63694191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13110002400,13110,24,あぶらめんにしいせき,油面西遺跡,目黒区 中央町二丁目,[縄文時代],包蔵地,,打斧　磨斧,139.6906907,35.63242154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
