JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13113001700,13113,17,,渋谷区No.17遺跡,渋谷区 代々木神園町,[古墳時代],古墳,円墳,須恵器　鉄刀,139.6976093,35.68040597,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113002000,13113,20,めいじじんぐうきたいけえーかいづか,明治神宮北池A貝塚,渋谷区 代々木神園町,[縄文時代（後期〜晩期],貝塚,,縄文土器　独鈷石,139.6992573,35.68015498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113002100,13113,21,めいじじんぐうきたいけびーかいづか,明治神宮北池B貝塚,渋谷区 代々木神園町,[縄文時代（中期）],包蔵地,,縄文土器　打斧,139.6971287,35.6784817,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113002200,13113,22,,渋谷区No.22遺跡,渋谷区 代々木神園町,[古墳時代],古墳,円墳,箱式石棺,139.6996349,35.67401947,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113002300,13113,23,,渋谷区No.23遺跡,渋谷区 代々木神園町,[古墳時代],古墳,円墳3基,須恵器　鏡　鉄刀,139.6924252,35.67438203,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113002600,13113,26,,渋谷区No.26遺跡,渋谷区 代々木神園町,[縄文時代（中期）][弥生時代][奈良時代][平安時代],包蔵地,,縄文土器　弥生土器　土師器　須恵器,139.69809,35.66961276,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13113002700,13113,27,,渋谷区No.27遺跡,渋谷区 代々木神園町,[縄文時代（中期）],包蔵地,,縄文土器,139.6912922,35.6695012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113002800,13113,28,,渋谷区No.28遺跡,渋谷区 代々木神園町,[縄文時代（中期）],包蔵地,,縄文土器,139.6922878,35.67262497,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113002900,13113,29,なまこやまこふん,ナマコ山古墳,渋谷区 神南二丁目,[古墳時代],古墳,前方後円墳?,,139.6967854,35.66492689,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13113003000,13113,30,,渋谷区No.30遺跡,渋谷区 神南二丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧,139.6962704,35.66534528,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
