JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13112024700,13112,247,しものだいせき,下野田遺跡,世田谷区 喜多見五丁目 喜多見六丁目 喜多見七丁目,[旧石器時代][縄文時代（早期～晩期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落,[旧石器時代]遺物集中箇所[縄文時代]落し穴　ピット　集石[古墳時代]住居　竪穴　土坑　溝　ピット[古代]住居　土坑　ピット[中世]溝　井戸　集石[近世]溝,旧石器　縄文土器　石器(石槍)　土師器　鉄製品　石製品　古銭　陶磁器,139.601044,35.63098942,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13112024800,13112,248,おかもとはらいせき,岡本原遺跡,世田谷区 岡本一丁目,[縄文時代（早期〜中期）][古墳時代][中世][近世],包蔵地,[古墳時代]溝,縄文土器 土師器 紡錘車 陶磁器,139.620332,35.62631979,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13112024900,13112,249,せたうえはらいせき,瀬田上原遺跡,世田谷区 瀬田五丁目,[奈良時代][平安時代][中世],包蔵地,,土師器 須恵器 カワラケ,139.6246306,35.62443671,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
13112025000,13112,250,いなりまるきたいせき,稲荷丸北遺跡,世田谷区 上野毛三丁目,[縄文時代（早期〜晩期）][古墳時代],集落・貝塚,[縄文時代]住居 土坑 ピット [古墳時代]住居 掘立柱建物 土坑 [近世]ピット 溝?,石器 縄文土器 土錘 土製円板 けつ状耳飾 弥生土器 土師器 須恵器 装身具 陶磁器,139.6356912,35.61181815,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112025100,13112,251,いなりまるこふん,稲荷丸古墳,世田谷区 上野毛三丁目,[古墳時代],古墳,円墳 [古墳時代]礫槨 石槨 葺石,,139.6354509,35.6119298,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112025200,13112,252,まるやまきたいせき,丸山北遺跡,世田谷区 深沢五丁目,[近世],包蔵地,,陶磁器,139.6466846,35.6185683,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13112025800,13112,258,むかいのだいせき,向野田遺跡,世田谷区 砧七丁目 砧八丁目,[縄文時代（早期〜後期）][古墳時代][近世],集落,[縄文時代]集石 土坑群 ピット群,縄文土器 石器,139.6044304,35.63911735,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13112026000,13112,260,かなくそやまいせき,かなくそやま遺跡,世田谷区 喜多見七丁目,[近世],塚,円形墳丘,陶磁器 羽口 鉄滓,139.5969585,35.62931523,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13112026201,13112,262,じんや1ごうふん,陣屋1号墳,世田谷区 喜多見一丁目,[古墳時代],古墳,円墳 [古墳時代]周溝,土師器,139.5963457,35.62438351,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026202,13112,262,じんや2ごうふん,陣屋2号墳,世田谷区 喜多見一丁目,[古墳時代],古墳,[古墳時代]葺石,土師器 埴輪（円筒、人物、形象）,139.5965603,35.62461026,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026203,13112,262,じんや3ごうふん,陣屋3号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,[古墳時代]石室,鉄鏃,139.5967525,35.62561757,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026204,13112,262,じんや4ごうふん,陣屋4号墳,世田谷区 喜多見三丁目,[古墳時代],古墳,円墳 [古墳時代]周溝,土師器 須恵器 勾玉,139.5977481,35.62498966,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026205,13112,262,じんや5ごうふん,陣屋5号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,前方後円墳 帆立貝式 [古墳時代]周溝,土師器 須恵器 埴輪 臼玉,139.5961689,35.62565943,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026206,13112,262,じんや6ごうふん,陣屋6号墳,世田谷区 喜多見三丁目,[古墳時代],古墳,円墳 [古墳時代]周溝,,139.597525,35.62551989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026207,13112,262,じんや7ごうふん,陣屋7号墳,世田谷区 喜多見三丁目,[古墳時代],古墳,,,139.5985464,35.62495129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026209,13112,262,じんや9ごうふん,陣屋9号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,円墳 [古墳時代]周溝,,139.5968383,35.6270687,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026211,13112,262,じんや11ごうふん,陣屋11号墳,世田谷区 喜多見三丁目,[古墳時代],古墳,[古墳時代]古墳周溝,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026212,13112,262,じんや12ごうふん,陣屋12号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,[古墳時代]主体部,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026213,13112,262,じんや13ごうふん,陣屋13号墳,世田谷区 喜多見三丁目,[古墳時代],古墳,[古墳時代]古墳周溝,土師器 須恵器,139.5994047,35.62492338,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026214,13112,262,じんや14ごうふん,陣屋14号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,[古墳時代]周溝,土師器 須恵器,139.5972675,35.62712451,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026215,13112,262,じんや15ごうふん,陣屋15号墳,世田谷区 喜多見四丁目,[古墳時代],古墳,古墳周溝,土師器 須恵器 鉄製品（鋤鍬先）,139.5961517,35.62642685,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026400,13112,264,きたみしみずいせき,喜多見清水遺跡,世田谷区 喜多見五丁目,[縄文時代（早期・中期〜後期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[奈良時代][平安時代]住居 [中世][近世]土坑 地下式土坑 井戸 溝,縄文土器 土師器 須恵器 土師質土器 陶磁器 石臼 鉄製品,139.6029495,35.62791983,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13112026500,13112,265,しものだやまいせき,下野田山遺跡,世田谷区 喜多見六丁目,[旧石器時代][古墳時代][奈良時代][平安時代][中世][近世],集落,[旧石器時代]ブロック,石器 焼礫 土師器 陶器 カワラケ,139.6039245,35.6300624,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13112026601,13112,266,しものだ1ごうふん,下野田1号墳,世田谷区 喜多見六丁目,[古墳時代],古墳,,,139.605428,35.631131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026602,13112,266,しものだ2ごうふん,下野田2号墳,世田谷区 喜多見六丁目,[古墳時代],古墳？,円墳?,,139.6065209,35.63028913,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026800,13112,268,なかしんめいおうけつぼぐん,中神明横穴墓群,世田谷区 成城三丁目,[古墳時代],横穴墓,7基,土師器 須恵器 刀子 人骨,139.596313,35.635624,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112026900,13112,269,しものだふどういせき,下野田不動遺跡,世田谷区 成城一丁目,[近世],出土地,,和鏡,139.6033661,35.63189041,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
