fid,JASID,SiteName,Lon,Lat,P,J,Y,K,N,H,M,Alt,属性1
"89","11202500900",権現坂遺跡,139.3237933,36.12407922,"1","0","0","1","1","0","1",60.2000007629395,低地
"90","11202501300",宮下遺跡,139.3272929,36.12497188,"1","0","1","1","1","0","0",60.0999984741211,低地
"91","11202501400",天神谷遺跡,139.3193145,36.12006443,"1","0","0","1","1","0","0",63.7000007629395,ローム台地
"92","11202501500",南方遺跡,139.3247174,36.12046119,"1","0","0","0","0","1","1",61.9000015258789,ローム台地
"93","11202501600",東原遺跡,139.3291962,36.1219963,"1","0","0","0","0","0","0",60.5999984741211,ローム台地
"94","11202501700",寺内（廃寺）,139.3145255,36.11545194,"1","0","0","1","1","0","0",69.8000030517578,ローム台地
"95","11202501800",西遺跡,139.321069,36.11636354,"1","0","0","1","1","0","0",65.6999969482422,ローム台地
"96","11202501900",山神東遺跡,139.3239414,36.11774586,"1","0","0","0","0","0","0",63.7000007629395,ローム台地
"97","11202502000",久保遺跡,139.3246747,36.11651164,"0","0","0","0","0","0","1",63.7000007629395,ローム台地
"98","11202502100",萩山遺跡,139.3315938,36.11907252,"1","0","0","0","0","1","1",61.2999992370605,ローム台地
"99","11202502200",上前原遺跡,139.3386513,36.12254183,"1","0","1","0","0","0","0",55.0999984741211,低地
"100","11202502300",行人塚（古墳群）,139.3435847,36.12038422,"0","0","1","0","0","0","0",50.7000007629395,ローム台地
"101","11202502400",代遺跡,139.3446942,36.11935992,"1","0","0","0","0","1","1",52.7999992370605,ローム台地
"102","11202502500",静簡院遺跡,139.3508274,36.11817119,"1","0","0","1","1","1","1",49.2999992370605,ローム台地
"103","11202502600",合羽山遺跡,139.3488725,36.11629323,"1","0","0","0","0","1","1",50.4000015258789,ローム台地
"104","11202502700",成沢上原遺跡,139.3543673,36.11680541,"1","0","1","1","1","0","0",49,ローム台地
"105","11202502800",向原遺跡,139.3580655,36.11341859,"1","0","1","0","0","0","0",46.9000015258789,ローム台地
"106","11202502900",中原遺跡,139.3614993,36.11657822,"0","0","1","1","1","0","0",45.2000007629395,低地
"107","11202503000",天神山遺跡,139.3653563,36.11726112,"1","0","1","0","0","0","0",36.2000007629395,低地
"108","11202503100",松原遺跡,139.3646694,36.11598068,"1","0","0","0","0","0","0",38.7000007629395,低地
"109","11202503200",鹿島遺跡,139.3613048,36.10749778,"1","1","0","1","1","1","1",50.2999992370605,ローム台地
"110","11202503300",八軒遺跡,139.3568138,36.10988816,"1","0","0","1","1","1","1",51.4000015258789,ローム台地
"111","11202503400",下新田遺跡,139.3680378,36.10688582,"0","0","0","1","1","0","0",49,ローム台地
"112","11202503500",荒神脇遺跡,139.3672998,36.10373426,"0","0","1","1","1","0","0",50,ローム台地
"113","11202503600",丸山浦遺跡,139.3715169,36.1027121,"1","0","1","1","1","1","1",49.2000007629395,ローム台地
"114","11202503700",丸山遺跡,139.3718859,36.10113625,"0","0","1","1","1","0","0",42.5999984741211,ローム台地
"115","11202503800",熊野遺跡,139.3664037,36.10139179,"0","0","1","1","1","1","1",44.0999984741211,ローム台地
"116","11202503900",元境内遺跡,139.361824,36.10319473,"1","0","1","1","1","1","1",50.2000007629395,ローム台地
"117","11202504000",諏訪脇遺跡,139.3578179,36.10362063,"1","0","1","1","1","1","1",51.2000007629395,ローム台地
"118","11202504100",野原宮脇遺跡,139.3546042,36.1046441,"1","0","1","1","1","1","1",51.2999992370605,ローム台地
"119","11202504200",野原古墳群,139.3613048,36.10749778,"1","0","1","0","0","1","1",50.2999992370605,ローム台地
"120","11202504300",田村陣屋跡,139.3379603,36.10668269,"0","0","1","0","0","0","1",54.2999992370605,ローム台地
"121","11202504400",須賀広宮脇遺跡,139.3409507,36.10556026,"0","0","1","1","1","0","0",52.0999984741211,ローム台地
"122","11202504500",本田・東台遺跡,139.345484,36.1057732,"1","0","1","1","1","0","1",50.9000015258789,ローム台地
"123","11202504600",小江川下原遺跡,139.3325702,36.10749751,"1","0","1","1","1","0","0",57.2999992370605,ローム台地
"124","11202504700",小江川上原遺跡,139.3317795,36.10575141,"0","0","1","0","0","0","0",56.5999984741211,ローム台地
"125","11202504800",田中遺跡,139.3283382,36.10632635,"0","0","1","1","1","0","0",57.5,ローム台地
"126","11202504900",山ノ神遺跡,139.3216802,36.10955034,"1","0","0","1","1","0","0",65,ローム台地
"127","11202505000",原谷遺跡,139.3315195,36.11488246,"0","0","1","0","0","0","0",60.2999992370605,ローム台地
"128","11202505100",板井中島遺跡,139.3181356,36.11404317,"1","0","0","1","1","1","1",65.6999969482422,ローム台地
"129","11202505200",天神（伊勢）遺跡,139.3100686,36.11266078,"1","0","0","1","1","1","1",70.1999969482422,ローム台地
"130","11202505300",桜山遺跡,139.3075018,36.11009344,"1","0","1","1","1","1","1",70.5,ローム台地
"131","11202505400",立野遺跡,139.3078685,36.10801975,"1","0","1","1","1","0","0",70.5,ローム台地
"132","11202505500",岩比田遺跡,139.3131854,36.10683476,"0","0","1","1","1","0","0",65.9000015258789,ローム台地
"133","11202505600",氷川遺跡,139.3174022,36.10856287,"0","0","1","1","1","1","1",68.3000030517578,ローム台地
"134","11202505700",向比遺跡,139.3140627,36.1047365,"0","0","1","0","0","0","0",65.8000030517578,ローム台地
"135","11202505800",塩西原遺跡,139.3126571,36.10226765,"0","0","0","0","0","0","0",80.4000015258789,ローム台地
"136","11202505900",荒井遺跡,139.3154072,36.10335395,"0","0","1","0","0","0","0",80,ローム台地
"137","11202506000",塩西遺跡,139.3201129,36.10399585,"1","0","1","1","1","1","1",70.4000015258789,ローム台地
"138","11202506100",塩古墳群,139.3161406,36.10058879,"1","0","1","0","0","0","0",78.0999984741211,ローム台地
