JASID,LGC,Site_no,SiteName,Address,Chronology,Lat,Lon,P,J,Y,K,N,H,M,E,D,U
14134009900,14134,高津区No.99,子母口植之台遺跡,高津区子母口113ほか,縄文　古墳　奈良　平安　中世,35.57389748,139.6255529,0,1,0,1,1,1,1,0,0,0
14134010000,14134,高津区No.100,子母口植之台遺跡・蓮乗院北遺跡,高津区子母口135ほか,縄文　弥生　古墳　中世　近世,35.57233368,139.6261709,0,1,1,1,0,0,1,1,0,0
14134010100,14134,高津区No.101,子母口貝塚・子母口根方遺跡,高津区子母口240ほか,縄文　弥生　古墳　奈良　平安,35.57222184,139.6283484,0,1,1,1,1,1,0,0,0,0
14134010200,14134,高津区No.102,明津古墳（水塚）,高津区明津183,古墳,35.56814996,139.6340676,0,0,0,1,0,0,0,0,0,0
14134010300,14134,高津区No.103,蟹ヶ谷横穴墓群,高津区蟹ヶ谷108ほか,古墳,35.566327,139.634664,0,0,0,1,0,0,0,0,0,0
14134010400,14134,高津区No.104,蟹ヶ谷古墳群,高津区蟹ヶ谷109,古墳,35.56596181,139.6354982,0,0,0,1,0,0,0,0,0,0
14134010500,14134,高津区No.105,,高津区蟹ヶ谷97,縄文　弥生,35.56562045,139.6356005,0,1,1,0,0,0,0,0,0,0
14134010600,14134,高津区No.106,末長久保台南遺跡,高津区末長1-18,縄文　弥生　古墳　奈良　平安,35.594135,139.608902,0,1,1,1,1,1,0,0,0,0
14134010700,14134,高津区No.107,久末秋谷横穴墓,高津区久末676,古墳,35.56835392,139.6185908,0,0,0,1,0,0,0,0,0,0
14134010800,14134,高津区No.108,蟹ヶ谷横穴墓群 (３号穴）,高津区蟹ヶ谷111,古墳,35.56616025,139.635981,0,0,0,1,0,0,0,0,0,0
14134010900,14134,高津区No.109,鎗ヶ崎遺跡,高津区梶ヶ谷2-14-1,古墳,35.58792401,139.601732,0,0,0,1,0,0,0,0,0,0
14134011000,14134,高津区No.110,千年Ｂ地区横穴墓,高津区千年1117ほか,古墳,35.57984173,139.6213064,0,0,0,1,0,0,0,0,0,0
14134011100,14134,高津区No.111,,高津区久末308ほか,縄文,35.5619254,139.6129557,0,1,0,0,0,0,0,0,0,0
14134011200,14134,高津区No.112,,高津区千年112,古墳,35.58087486,139.6203966,0,0,0,1,0,0,0,0,0,0
14134011300,14134,高津区No.113,久本桃之園古墳,高津区久本1-14,古墳,35.59637713,139.6108432,0,0,0,1,0,0,0,0,0,0
