"JASID","自治体コード","遺跡番号","遺跡名","種類","所在地","時代","旧市番号","地図","経度","緯度","平安"
14136009100,14136,"宮前区No.91","","散布地","川崎市宮前区平2-16","弥生　奈良　平安","五所塚-28",57,139.5729,35.60105,1
14136009200,14136,"宮前区No.92","","散布地","川崎市宮前区平2-7","縄文　奈良　平安","五所塚-33",57,139.5703,35.60129,1
14136009300,14136,"宮前区No.93","","散布地","川崎市宮前区初山1-3","縄文　奈良　平安","五所塚-32",63,139.5669,35.60157,1
14136009500,14136,"宮前区No.95","","散布地","川崎市宮前区初山2-7","縄文　奈良　平安","五所塚-34",63,139.5668,35.59768,1
14136010000,14136,"宮前区No.100","","散布地","川崎市宮前区神木本町48ほか","縄文　奈良　平安","五所塚-9",57,139.5836,35.59884,1
14136010200,14136,"宮前区No.102","","散布地","川崎市宮前区神木本町4-18","縄文　弥生　古墳　奈良　平安","五所塚-11",57,139.5851,35.5973,1
14136010600,14136,"宮前区No.106","","散布地","川崎市宮前区神木2-9","縄文　弥生　古墳　奈良　平安","土橋-2",57,139.5818,35.59532,1
14136010700,14136,"宮前区No.107","","散布地","川崎市宮前区神木本町4-3-4ほか","縄文　弥生　古墳　奈良　平安","五所塚-10",57,139.5819,35.59786,1
14136010800,14136,"宮前区No.108","","散布地","川崎市宮前区平6-1ほか","縄文　奈良　平安","五所塚-25",57,139.579,35.59845,1
14136010900,14136,"宮前区No.109","","散布地","川崎市宮前区平6-8ほか","縄文　弥生　古墳　奈良　平安","土橋-18",57,139.5772,35.59646,1
14136011200,14136,"宮前区No.112","","散布地 その他の墓","川崎市宮前区宮崎6-5","縄文　弥生　平安","土橋-23",58,139.5799,35.5921,1
14136011500,14136,"宮前区No.115","","その他の墓","川崎市宮前区宮崎6-3-10","平安","土橋-13",58,139.5839,35.593,1
14136011600,14136,"宮前区No.116","","散布地 その他の墓","川崎市宮前区宮崎6-4-6ほか","縄文　平安","土橋-12",58,139.5847,35.5931,1
14136011700,14136,"宮前区No.117","","散布地","川崎市宮前区宮崎4-1ほか","縄文　弥生　古墳　奈良　平安","土橋-3",58,139.5863,35.59327,1
14136012700,14136,"宮前区No.127","土橋-４遺跡","散布地","川崎市宮前区宮前平2-12ほか","縄文　古墳　奈良　平安","土橋-4",58,139.5828,35.58765,1
14136014000,14136,"宮前区No.140","","散布地","川崎市宮前区犬蔵2-16","縄文　弥生　古墳　奈良　平安","蔵敷-5",64,139.5629,35.58685,1
14136014200,14136,"宮前区No.142","","散布地","川崎市宮前区犬蔵2-33ほか","縄文　奈良　平安","元石川-l",64,139.563,35.58245,1
14136014700,14136,"宮前区No.147","","散布地","川崎市宮前区菅生1-33ほか","縄文　奈良　平安","生田緑地-7",63,139.5554,35.59985,1
14136014800,14136,"宮前区No.148","","散布地","川崎市宮前区菅生1-36","縄文　奈良　平安","生田緑地-5",63,139.5554,35.59985,1
14136014900,14136,"宮前区No.149","","散布地","川崎市宮前区菅生1-12","縄文　弥生　古墳　奈良　平安","生田緑地-4",63,139.5568,35.60137,1
14136015000,14136,"宮前区No.150","","散布地","川崎市宮前区菅生1-9","縄文　弥生　古墳　奈良　平安","生田緑地-6",63,139.5533,35.60074,1
14136015100,14136,"宮前区No.151","菅生遺跡","散布地","川崎市宮前区菅生2-10","縄文　奈良　平安","生田緑地-13",63,139.5528,35.59878,1
14136015300,14136,"宮前区No.153","","その他の墓","川崎市宮前区菅生2-14","平安","生田緑地-14",63,139.5501,35.5986,1
14136015400,14136,"宮前区No.154","","散布地 その他の墓","川崎市宮前区菅生2-6ほか","縄文　平安","生田緑地-10",63,139.5538,35.59687,1
14136015900,14136,"宮前区No.159","","散布地","川崎市宮前区菅生4-5ほか","縄文　奈良　平安","蔵敷-18",64,139.5535,35.59213,1
14136016300,14136,"宮前区No.163","","散布地","川崎市宮前区水沢1-2ほか","縄文　弥生　古墳　奈良　平安","蔵敷-14",64,139.5475,35.58964,1
14136016500,14136,"宮前区No.165","菅生水沢遺跡Ｅ地点","集落跡","川崎市宮前区菅生4-14ほか","奈良　平安","蔵敷-10",64,139.5499,35.59249,1
14136016600,14136,"宮前区No.166","菅生水沢遺跡Ｄ地点・Ｆ地点","集落跡","川崎市宮前区水沢1-1","縄文　弥生　古墳　奈良　平安","蔵敷-13",64,139.5469,35.59226,1
14136016700,14136,"宮前区No.167","","散布地","川崎市宮前区水沢2-9","縄文　奈良　平安","稗原-10",70,139.5422,35.59244,1
14136016900,14136,"宮前区No.169","","散布地","川崎市宮前区潮見台7","奈良　平安","稗原-5",70,139.5395,35.59608,1
14136017000,14136,"宮前区No.170","潮見台遺跡Ａ地点","散布地 その他の墓","川崎市宮前区潮見台3-8ほか","縄文　平安","稗原-6",69,139.5362,35.59537,1
14136017100,14136,"宮前区No.171","潮見台遺跡Ｃ地点","散布地 その他の墓","川崎市宮前区潮見台2-38ほか","縄文　弥生　古墳　奈良　平安","稗原-3",69,139.5364,35.5946,1
14136017300,14136,"宮前区No.173","","散布地","川崎市宮前区潮見台4","縄文　奈良　平安","稗原-7",69,139.531,35.59544,1
14136017400,14136,"宮前区No.174","","散布地","川崎市宮前区潮見台7","縄文　奈良　平安","稗原-8",69,139.5291,35.59365,1
14136017600,14136,"宮前区No.176","野川東耕地北遺跡","散布地","川崎市宮前区野川本町2-8","縄文　古墳　奈良　平安","千年-24",48,139.6146,35.57685,1
14136017700,14136,"宮前区No.177","","散布地","川崎市宮前区有馬1-5","縄文　奈良　平安","有馬-26",59,139.5775,35.57821,1
14136017800,14136,"宮前区No.178","","その他の墓","川崎市宮前区東有馬1-3","平安","馬絹-27",59,139.5899,35.57765,1
14136017900,14136,"宮前区No.179","","散布地","川崎市宮前区野川本町2-7","縄文　古墳　奈良　平安","千年-28",48,139.6135,35.5768,1
14136018000,14136,"宮前区No.180","","散布地","川崎市宮前区西野川1-15","縄文　弥生　古墳　奈良　平安","馬絹-7",53,139.601,35.57612,1
14136018900,14136,"宮前区No.189","","散布地","川崎市宮前区菅生1-18","縄文　奈良　平安","生田緑地-18",63,139.554,35.60159,1
14136019000,14136,"宮前区No.190","","散布地","川崎市宮前区水沢3-1","奈良　平安","蔵敷-20",64,139.5477,35.59323,1
14136019100,14136,"宮前区No.191","","散布地","川崎市宮前区神木本町1-25ほか","縄文　奈良　平安","五所塚-21",57,139.5821,35.60428,1
14136019200,14136,"宮前区No.192","","その他の墓","川崎市宮前区有馬4-16","平安","―",59,139.5818,35.57549,1
14136019300,14136,"宮前区No.193","","散布地","高津区上作延722ほか","縄文　古墳　奈良　平安　中世","津田山-23",57,139.5865,35.5972,1
14135000200,14135,"多摩区No.2","下原遺跡","集落跡","川崎市多摩区長尾7-12","縄文　弥生　古墳　奈良　平安","五所塚-2",56,139.5848,35.60665,1
14135000300,14135,"多摩区No.3","新林遺跡","集落跡","川崎市多摩区長尾7-29ほか","縄文　弥生　古墳　奈良　平安","五所塚-20",57,139.5808,35.60597,1
14135000400,14135,"多摩区No.4","長尾台遺跡・長尾台北遺跡","集落跡","川崎市多摩区長尾6-11","縄文　弥生　古墳　奈良　平安","五所塚-15",56,139.5806,35.60804,1
14135001000,14135,"多摩区No.10","","散布地","川崎市多摩区東生田4-8","縄文　奈良　平安","五所塚-29",63,139.5669,35.60405,1
14135001100,14135,"多摩区No.11","","その他の墓","川崎市多摩区東生田4-10","平安","五所塚-40",63,139.5662,35.60319,1
14135001300,14135,"多摩区No.13","","散布地","川崎市多摩区東生田4-16ほか","縄文　奈良　平安","生田緑地-2",63,139.5639,35.60508,1
14135001600,14135,"多摩区No.16","廣福寺南遺跡","散布地","川崎市多摩区枡形6-7-8","縄文　奈良　平安","登戸-3",62,139.5592,35.61383,1
14135001800,14135,"多摩区No.18","榎戸遺跡","散布地 横穴墓","川崎市多摩区枡形4-12","縄文　弥生　古墳　奈良　平安","登戸-4",62,139.5532,35.6175,1
14135001900,14135,"多摩区No.19","","散布地","川崎市多摩区枡形6-26","縄文　奈良　平安","生田緑地-1",62,139.5581,35.61171,1
14135002000,14135,"多摩区No.20","","散布地","川崎市多摩区枡形6-26ほか","縄文　奈良　平安","生田緑地-3",62,139.5579,35.61057,1
14135002200,14135,"多摩区No.22","","その他の墓","川崎市多摩区南生田6-5","平安","長沢-14",69,139.5407,35.60409,1
14135002400,14135,"多摩区No.24","","その他の墓","川崎市多摩区南生田6-32","平安","長沢-15",69,139.5382,35.60543,1
14135003200,14135,"多摩区No.32","","散布地","川崎市多摩区西生田4-20ほか","縄文　古墳　奈良　平安","長沢-5",68,139.5247,35.61075,1
14135003300,14135,"多摩区No.33","","散布地","川崎市多摩区西生田3-22ほか","縄文　弥生　古墳　奈良　平安","長沢-4",68,139.5282,35.61036,1
14135003400,14135,"多摩区No.34","","散布地","川崎市多摩区西生田3-18","縄文　奈良　平安","西生田-11",68,139.5312,35.61141,1
14135003500,14135,"多摩区No.35","","散布地","川崎市多摩区栗谷2-13","縄文　古墳　奈良　平安","長沢-3",68,139.5338,35.60926,1
14135003600,14135,"多摩区No.36","","散布地","川崎市多摩区栗谷4-1ほか","縄文　奈良　平安","西生田-1",68,139.5387,35.61236,1
14135003700,14135,"多摩区No.37","栗谷遺跡","集落跡","川崎市多摩区栗谷3-25ほか","縄文　奈良　平安","西生田-10",68,139.5364,35.6132,1
14135003800,14135,"多摩区No.38","","散布地","川崎市多摩区生田7-18ほか","奈良　平安","西生田-8",68,139.5403,35.61606,1
14135003900,14135,"多摩区No.39","","その他の墓","川崎市多摩区生田6-15","平安","西生田-12",68,139.5344,35.61685,1
14135004100,14135,"多摩区No.41","","散布地","川崎市多摩区西生田2-12ほか","奈良　平安","西生田-2",68,139.5323,35.61537,1
14135004200,14135,"多摩区No.42","","散布地","川崎市多摩区西生田1-7","縄文　奈良　平安","西生田-5",68,139.529,35.61682,1
14135004500,14135,"多摩No.45","寺尾台廃寺跡","社寺跡","川崎市多摩区寺尾台2-8","奈良　平安","西生田-7",67,139.538,35.62218,1
14135004600,14135,"多摩No.46","","散布地","川崎市多摩区菅北浦5-3","縄文　奈良　平安","菅-1",67,139.535,35.62691,1
14135005300,14135,"多摩区No.53","","散布地","川崎市多摩区菅仙谷1-4ほか","縄文　奈良　平安","菅-2",73,139.5215,35.6315,1
14135005400,14135,"多摩区No.54","亀の子山遺跡","集落跡","川崎市多摩区枡形5-6ほか","縄文　奈良　平安","登戸-5",62,139.5539,35.61251,1
14135005500,14135,"多摩区No.55","","散布地","川崎市多摩区長沢4-13ほか","縄文　奈良　平安","長沢-16",69,139.5366,35.59801,1
14135006200,14135,"多摩区No.62","","散布地","川崎市多摩区南生田2-29","縄文　奈良　平安","長沢-20",69,139.528,35.6035,1
14135006600,14135,"多摩区No.66","東高根遺跡","散布地","川崎市宮前区神木本町2丁目","縄文　奈良　平安","五所塚-4",57,139.5844,35.60502,1
14137000100,14137,"麻生区No.1","","散布地","川崎市麻生区細山7-11","奈良　平安","稲城-1",73,139.5137,35.62453,1
14137000300,14137,"麻生区No.3","細山代官山遺跡","散布地 その他の墓","川崎市麻生区細山8-16ほか","弥生　古墳　奈良　平安","細山-7",73,139.5111,35.62194,1
14137000400,14137,"麻生区No.4","","散布地","川崎市麻生区細山8-7ほか","縄文　奈良　平安","細山-8",74,139.5113,35.62068,1
