place_id,SiteType,Chronology,Pa,Jo,Ya,Ko,Na,He,Me,site_type_tokens,has_special_site_type_flag,has_special_function_site_type,special_site_type_class
13209072400,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13209072600,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13209072900,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13209073600,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13209088500,包蔵地・窯,[縄文時代（早期〜晩期）][奈良時代][平安時代][中世][近世],0,1,0,0,1,1,1,包蔵地;窯,TRUE,TRUE,special_function
13209089500,包蔵地・城館,[縄文時代（前期〜中期）][弥生時代][奈良時代][平安時代][中世][近世],0,1,1,0,1,1,1,包蔵地;城館,TRUE,TRUE,special_function
13212001500,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13212002600,城館,[平安時代][中世],0,0,0,0,0,1,1,城館,TRUE,TRUE,special_function
13212002700,城館,[平安時代][中世],0,0,0,0,0,1,1,城館,TRUE,TRUE,special_function
13212003300,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13215001700,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13215002000,その他（鋳物工房跡）,[中世][近世],0,0,0,0,0,0,1,その他（鋳物工房跡）,TRUE,TRUE,special_function
13220001900,集落・炭焼窯跡,[旧石器時代][縄文時代（中期）][奈良時代][平安時代],1,1,0,0,1,1,0,集落;炭焼窯跡,TRUE,TRUE,special_function
13220002800,包蔵地・その他（鍛冶炉）,[縄文時代］[平安時代][その他（近代）],0,1,0,0,0,1,0,包蔵地;その他（鍛冶炉）,TRUE,TRUE,special_function
13220006000,包蔵地・その他（炭焼窯）,[縄文時代][奈良時代][平安時代][近代],0,1,0,0,1,1,0,包蔵地;その他（炭焼窯）,TRUE,TRUE,special_function
13221004700,城館？,[中世],0,0,0,0,0,0,1,城館？,TRUE,TRUE,special_function
13221006200,集落・城館？,[旧石器時代][縄文時代（早期〜中期・晩期）][中世],1,1,0,0,0,0,1,集落;城館？,TRUE,TRUE,special_function
13223001600,集落・生産跡（小鍛冶跡）,[平安時代],0,0,0,0,0,1,0,集落;生産跡（小鍛冶跡）,TRUE,TRUE,special_function
13224001700,包蔵地・城館,[平安時代],0,0,0,0,0,1,0,包蔵地;城館,TRUE,TRUE,special_function
13224002700,集落・城館,[縄文時代（早期〜後期）][奈良時代][平安時代][中世][近世],0,1,0,0,1,1,1,集落;城館,TRUE,TRUE,special_function
13224018200,城館跡,[中世],0,0,0,0,0,0,1,城館跡,TRUE,TRUE,special_function
13224018300,城館跡,[不明],0,0,0,0,0,0,0,城館跡,TRUE,TRUE,special_function
13224018400,城館跡,[中世],0,0,0,0,0,0,1,城館跡,TRUE,TRUE,special_function
13224020900,窯群,[時代不明],0,0,0,0,0,0,0,窯群,TRUE,TRUE,special_function
13225008200,窯跡,[奈良時代],0,0,0,0,1,0,0,窯跡,TRUE,TRUE,special_function
13225008500,窯跡・城館,[奈良時代][中世],0,0,0,0,1,0,1,窯跡;城館,TRUE,TRUE,special_function
13225008800,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13225009000,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13225009100,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13227000700,鍛冶工房跡,[中世][近世],0,0,0,0,0,0,1,鍛冶工房跡,TRUE,TRUE,special_function
13228000600,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13228002500,城館・社寺,[中世],0,0,0,0,0,0,1,城館;社寺,TRUE,TRUE,special_function
13228002800,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13228003100,城館,[弥生時代][中世],0,0,1,0,0,0,1,城館,TRUE,TRUE,special_function
