place_id,phase_code,presence,phase_order,next_phase_code,next_phase_order,next_presence,transition,phase_pair,phase_pair_order
13103002100,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103002100,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103002100,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103002100,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103002300,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103002300,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13103002300,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103002300,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103002300,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103002300,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103002700,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13103002700,Jo,0,2,Ya,3,1,new,Jo->Ya,2
13103002700,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13103002700,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103002700,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103002700,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103002900,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103002900,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13103002900,Ya,1,3,Ko,4,1,continue,Ya->Ko,3
13103002900,Ko,1,4,Na,5,0,drop,Ko->Na,4
13103002900,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103002900,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103003000,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103003000,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13103003000,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103003000,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103003000,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103003000,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103003100,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103003100,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
