"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","遺構","主な出土品","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明","色"
13106004900,13106,"49","おのてるさきじんじゃいせき","小野照崎神社遺跡","台東区 下谷二丁目","[近世]","社寺・その他（塚）","※遺跡範囲のすべてが、国指定重要有形民俗文化財下谷坂本の富士塚として指定されています。","",139.7835993,35.72194958,"0","0","0","0","0","0","0","近世","0","purple"
13106007800,13106,"78","あさくさこまがたにちょうめいせき","浅草駒形二丁目遺跡","台東区 駒形一丁目","[古墳時代][奈良時代][平安時代][近世]","包蔵地・貝塚・社寺・その他（町屋）","[古墳時代]～[中世]貝塚　土坑・溝・ピット　[近世]遺構","（古～中）土師器・須恵器　中国製白磁・土器　（近世）陶磁器　玩具",139.7950087,35.70818755,"0","0","0","古墳","奈良","平安","0","近世","0","purple"
13107000100,13107,"1","うめわかづか","梅若塚","墨田区 堤通二丁目","[近世]","塚","","",139.8162445,35.73373965,"0","0","0","0","0","0","0","近世","0","purple"
13109000100,13109,"1","かみおおさきかいづか","上大崎貝塚","品川区 上大崎一丁目","[縄文時代]","貝塚","","縄文土器　石器",139.72184,35.6351312,"0","縄文","0","0","0","0","0","0","0","purple"
13109000400,13109,"4","いけだやまきたいせき","池田山北遺跡","品川区 東五反田五丁目","[縄文時代（早期～中期）][弥生時代（後期）]","包蔵地・貝塚・集落","[縄文時代（早期～前期）]住居址　炉跡　貝層　[縄文時代]住居跡　炉跡　土坑　[縄文時代（前期）]～[弥生時代（後期）]竪穴式住居　土坑　[弥生時代]住居跡　炉跡　土坑　溝　[古墳時代]住居跡　土坑","縄文土器　打斧　磨斧　石皿　けつ状耳飾　弥生土器　磁器　燈明皿　擂鉢　動物遺体　打製石斧　耳飾　土器　土師器　石製耳飾",139.7229069,35.63109445,"0","縄文","弥生","0","0","0","0","0","0","purple"
13109001000,13109,"10","いるきばしいせき","居木橋遺跡","品川区 大崎二丁目","[縄文時代（早期～後期）][弥生時代][中世]","集落跡・貝塚","[縄文時代]住居　土坑　ピット　[中世]溝","縄文土器　打斧　磨斧　石皿　耳飾　石棒　骨角製釣針　鯨骨製棒状骨角器　獣魚骨　弥生土器　抉入石斧　陶磁器　動物遺体",139.7245685,35.61720399,"0","縄文","弥生","0","0","0","中世","0","0","purple"
13109001200,13109,"12","（おおい）ごんげんだいかいづか","(大井)権現台貝塚","品川区 広町二丁目","[縄文時代（後期～晩期）]","貝塚","","縄文土器　打斧　磨斧　硬玉大珠　石棒　土偶　土版　骨角器　獣骨",139.7343964,35.60833955,"0","縄文","0","0","0","0","0","0","0","purple"
13109001400,13109,"14","さいこうじかいづか","西光寺貝塚","品川区 大井四丁目","[縄文時代（中期～後期）][古墳時代]","貝塚・包蔵地","","縄文土器　打斧　須恵器",139.7328131,35.60031371,"0","縄文","0","古墳","0","0","0","0","0","purple"
13109001600,13109,"16","おおもりかいづか","大森貝塚","品川区 大井六丁目","[縄文時代（中期～晩期）]","包蔵地・集落・貝塚","[縄文時代]住居　溝","縄文土器　石斧　石鏃　石皿　磨石　滑車形耳飾　石棒　土偶　土版　骨角器　貝製品　人骨",139.7303114,35.59305438,"0","縄文","0","0","0","0","0","0","0","purple"
13110000800,13110,"8","ひがしやまかいづかいせき","東山貝塚遺跡","目黒区 東山二丁目　東山三丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][平安時代][中世][近世][近代]","集落　貝塚　その他（軍施設）","[旧石器時代]礫群　石器ブロック　[縄文時代]竪穴住居跡　土坑　土壙　土器埋設遺構　落し穴　木杭列　植物遺存体集中　小穴　柱穴群　[弥生時代]竪穴住居跡　溝　土坑　[古墳時代]土坑　[中世]溝　[近世]溝　土坑　［近代］地下式遺構　煉瓦構造物　溝","縄文土器　土偶　土製円盤　土器片錘　打製石斧　磨製石斧　弥生土器　古墳時代土器　陶磁器　細石刃　尖頭器　剥片　角錐状石器　削器　石鏃　敲石　石皿　垂飾　掻器　凹石　磨石　砥石　スタンプ形石器　石剣　石錐　石棒　土版　土製勾玉　耳栓　土錘　土玉　弭形角製品　ヤス状刺突具　骨針　浮子 （平安時代）　瓦　（近代）陶磁器　ガラス製品　鉄製品",139.6866739,35.64782322,"旧石器","縄文","弥生","古墳","0","平安","中世","近世","0","purple"
13110002600,13110,"26","さんごうづか","三合塚","目黒区 南一丁目","[時期不明]","その他（塚群）","","",139.6881545,35.61344615,"0","0","0","0","0","0","0","0","不明","purple"
13111000100,13111,"1","かめづかふきん・まるこたまがわえんきたかいづか","亀塚付近・丸子多摩川園北貝塚","大田区 田園調布一丁目","[縄文時代（前期・後期）]","包蔵地・貝塚","","縄文土器",139.6674392,35.58883561,"0","縄文","0","0","0","0","0","0","0","purple"
13111004500,13111,"45","でんえんちょうふほんちょうかいづか","田園調布本町貝塚","大田区 田園調布本町","[縄文時代（前期）]","貝塚","","縄文土器",139.6761517,35.58467801,"0","縄文","0","0","0","0","0","0","0","purple"
13111004800,13111,"48","しもぬまべかいづか","下沼部貝塚","大田区 田園調布本町","[縄文時代（早期～晩期）][弥生時代][近世]","集落・貝塚","[縄文時代]住居　集石　炉　炉穴　焼土　[弥生時代]住居　[近世]墓壙","縄文土器　打斧　磨斧　礫器　石槍　石鏃　掻器　石箆　石錘　石皿　磨石　凹石　敲石　石核　剥片　梵字形石器　耳飾　石棒　石剣　岩版　土版　昆虫形土製品　筒形土製品　獣骨　弥生土器　須恵器　埴輪　銭貨　人骨",139.6724802,35.58533812,"0","縄文","弥生","0","0","0","0","近世","0","purple"
13111005700,13111,"57","ゆきがやかいづか","雪ヶ谷貝塚","大田区 南雪谷二丁目　 南雪谷三丁目　 南雪谷四丁目　 南雪谷五丁目","[旧石器時代][縄文時代（早期～前期）][弥生時代（後期）][古墳時代][平安時代]","集落・貝塚・その他の墓","","縄文土器　縄文石器　石鏃　石槍　弥生土器",139.6844687,35.58976951,"旧石器","縄文","弥生","古墳","0","平安","0","0","0","purple"
13111006000,13111,"60","まごめかいづか","馬込貝塚","大田区 中馬込一丁目　 上池台五丁目","[縄文時代（前期～晩期）]","集落・貝塚","[縄文時代]住居　土坑　土壙　犬埋葬土坑","縄文土器　打斧　磨斧　異形石器　土錘　けつ状耳飾　玉類　骨角製品牙鏃　弓筈　人骨　獣・魚骨",139.7035017,35.59549274,"0","縄文","0","0","0","0","0","0","0","purple"
13111006200,13111,"62","てんまんぐうふきんかいづか","天満宮付近貝塚","大田区 南馬込二丁目","[縄文時代（前期）]","貝塚","","縄文土器",139.7166881,35.58939185,"0","縄文","0","0","0","0","0","0","0","purple"
13111006300,13111,"63","まごめいっちょうめかいづか","馬込一丁目貝塚","大田区 南馬込四丁目","[縄文時代（前期）]","貝塚","","縄文土器",139.7140918,35.58647772,"0","縄文","0","0","0","0","0","0","0","purple"
13111006500,13111,"65","ちょうおんじかいづか","長遠寺貝塚","大田区 南馬込五丁目　 西馬込一丁目","[縄文時代（前期）][弥生時代]","包蔵地・貝塚","","縄文土器　打斧　弥生土器",139.7096019,35.59124845,"0","縄文","弥生","0","0","0","0","0","0","purple"
13111006900,13111,"69","おおもりかいづか","大森貝塚","大田区 山王一丁目","[縄文時代（中期～晩期）]","貝塚","","縄文土器　打斧　石鏃　石皿　磨石　耳飾　石棒　土偶　土版　土製品　骨角器　牙鏃　人骨　獣骨",139.7303283,35.59301536,"0","縄文","0","0","0","0","0","0","0","purple"
13111007000,13111,"70","くまのじんじゃまえかいづか・あらいじゅくじょうあと","熊野神社前貝塚・新井宿城跡","大田区 山王三丁目","[奈良時代][平安時代][中世]","貝塚・城館","","土師器　須恵器　獣骨",139.721874,35.58434285,"0","0","0","0","奈良","平安","中世","0","0","purple"
13111007300,13111,"73","さんのういせき・さんのういせきないよこあなぼぐん","山王遺跡・山王遺跡内横穴墓群","大田区 山王二丁目　 山王三丁目","[弥生時代（中期～後期）][古墳時代][奈良時代]","集落・貝塚・横穴墓","[弥生時代]環濠　住居　方形周溝墓　[古墳時代]住居　[奈良時代]横穴墓3基　[時期不明]地下式土坑","弥生土器　石器　土師器　須恵器　鉄鏃　刀子　直刀　人骨",139.7252696,35.58752753,"0","0","弥生","古墳","奈良","0","0","0","0","purple"
13111007400,13111,"74","きりさとまちかいづか","桐里町貝塚","大田区 池上一丁目","[縄文時代（前期）][弥生時代]","貝塚","","縄文土器　弥生土器",139.7069823,35.57945652,"0","縄文","弥生","0","0","0","0","0","0","purple"
13111007600,13111,"76","しょうせんかいづか","庄仙貝塚","大田区 久が原一丁目　 北嶺町","[縄文時代（前期～中期）]","貝塚・集落","[縄文時代]住居","縄文土器　打斧　磨斧　石鏃　磨石　凹石　石棒　独鈷石　獣骨",139.6882712,35.586053,"0","縄文","0","0","0","0","0","0","0","purple"
13111007800,13111,"78","くがはらかいづか・くがはらちょう1026ばんちかいづか","久ヶ原貝塚・久ヶ原町1026番地貝塚","大田区 久が原三丁目　 久が原四丁目","[縄文時代（前期～中期）]","貝塚","","縄文土器",139.6912324,35.58052107,"0","縄文","0","0","0","0","0","0","0","purple"
13111008500,13111,"85","ちどりくぼかいづか","千鳥久保貝塚","大田区 久が原四丁目　 南久が原一丁目","[縄文時代（中期～後期）]","集落・貝塚","[縄文時代]住居","縄文土器　打斧　凹石　鹿角棒　人骨",139.6891725,35.57711795,"0","縄文","0","0","0","0","0","0","0","purple"
13111008700,13111,"87","ぞうみょういんうらかいづか","増明院裏貝塚","大田区 鵜の木一丁目","[縄文時代（前期・後期）]","貝塚","","縄文土器　石器　耳飾",139.6829192,35.57566033,"0","縄文","0","0","0","0","0","0","0","purple"
13111009300,13111,"93","おなづかかいづか","女塚貝塚","大田区 西蒲田四丁目　 西蒲田五丁目","[弥生時代（後期）][奈良時代][平安時代]","貝塚・その他（祭祀遺構）","井戸","土師器　砥石　鉄器　滑石製紡錘車　石製品",139.717035,35.56813481,"0","0","弥生","0","奈良","平安","0","0","0","purple"
13111009500,13111,"95","えんとんじかいづか","円頓寺貝塚","大田区 蒲田二丁目","[奈良時代][平安時代]","貝塚","","土師器　須恵器",139.7239014,35.56501045,"0","0","0","0","奈良","平安","0","0","0","purple"
13111009900,13111,"99","みちづかかいづか","道塚貝塚","大田区 新蒲田三丁目","[奈良時代][平安時代]","貝塚","","土師器　須恵器",139.7061345,35.55748705,"0","0","0","0","奈良","平安","0","0","0","purple"
13111010200,13111,"102","てんそじんじゃかいづか","天祖神社貝塚","大田区 西糀谷四丁目","[奈良時代][平安時代]","貝塚","","土師器",139.7305748,35.5558112,"0","0","0","0","奈良","平安","0","0","0","purple"
13111010300,13111,"103","しもぶくろかいづか","下袋貝塚","大田区 北糀谷一丁目","[奈良時代][平安時代]","貝塚","","須恵器",139.7354457,35.56139721,"0","0","0","0","奈良","平安","0","0","0","purple"
13111010400,13111,"104","まえかたかいづか","前方貝塚","大田区 大森中二丁目　 大森中三丁目","[奈良時代][平安時代]","貝塚","","土師器",139.731695,35.56634979,"0","0","0","0","奈良","平安","0","0","0","purple"
13111010500,13111,"105","じゅうにてんひがし（せんろひがしがわ）かいづか","十二天東（線路東側）貝塚","大田区 大森西七丁目","[奈良時代]","貝塚","","土師器　須恵器",139.7221432,35.56990786,"0","0","0","0","奈良","0","0","0","0","purple"
13111010600,13111,"106","おおもりみなみこふん","大森南古墳","大田区 大森南一丁目","[古墳時代][中世]","古墳？塚？","円墳","",139.7383679,35.56248294,"0","0","0","古墳","0","0","中世","0","0","purple"
13111010700,13111,"107","はちまんづか","八幡塚","大田区 東六郷三丁目","[中世]","塚","","蔵骨器（常滑壺）",139.7135058,35.54401727,"0","0","0","0","0","0","中世","0","0","purple"
13111011600,13111,"116","つかごしかいづか","塚越貝塚","大田区 西馬込二丁目","[縄文時代（前期）]","貝塚","","縄文土器",139.7026565,35.58375587,"0","縄文","0","0","0","0","0","0","0","purple"
13111013700,13111,"137","かみぬまべかいづか","上沼部貝塚","大田区 田園調布四丁目　 田園調布五丁目","[縄文時代（前期・後期～晩期）]","貝塚","","縄文土器",139.6602175,35.59661086,"0","縄文","0","0","0","0","0","0","0","purple"
13111016200,13111,"162","さんぼんまつづか","三本松塚","大田区 北馬込二丁目","[中世]","その他（塚）","","",139.7107203,35.59649433,"0","0","0","0","0","0","中世","0","0","purple"
13111016300,13111,"163","にったよしおきづか","新田義興塚","大田区 矢口一丁目","[中世]","墳墓・その他（塚）","","刀子　刀　懸神",139.6906627,35.56506429,"0","0","0","0","0","0","中世","0","0","purple"
