"JASID","自治体コード","遺跡名","緯度","経度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
13111009001,13111,"光明寺遺跡",35.57385397,139.684314,"1","1","1","1","1","0","1","1","0"
13111009002,13111,"荒塚1号墳",35.57387143,139.6841959,"0","0","0","1","0","0","0","0","0"
13111009003,13111,"荒塚2号墳",35.57381034,139.6839599,"0","0","0","1","0","0","0","0","0"
13111009100,13111,"桐ヶ谷横穴墓群",35.58064849,139.7125128,"0","0","0","1","1","0","0","0","0"
13111009200,13111,"十二天（十二天西）遺跡",35.57159067,139.7176412,"0","0","0","0","1","1","0","0","0"
13111009300,13111,"女塚貝塚",35.56813481,139.717035,"0","0","1","0","1","1","0","0","0"
13111009400,13111,"女塚古墳",35.56524609,139.712384,"0","0","0","1","0","0","0","0","0"
13111009500,13111,"円頓寺貝塚",35.56501045,139.7239014,"0","0","0","0","1","1","0","0","0"
13111009600,13111,"?田神社遺跡",35.56457408,139.7225711,"0","0","0","1","0","0","0","0","0"
13111009700,13111,"?田神社境内古墳",35.56436462,139.7225496,"0","0","0","1","0","0","0","0","0"
13111009800,13111,"蒲田八幡神社境内古墳",35.56057679,139.7224852,"0","0","0","1","0","0","0","0","0"
13111009900,13111,"道塚貝塚",35.55748705,139.7061345,"0","0","0","0","1","1","0","0","0"
13111010000,13111,"あやめ橋付近遺跡",35.5632824,139.7207472,"0","0","0","1","0","0","0","0","0"
13111010100,13111,"薬師塚古墳",35.55472887,139.7381708,"0","0","0","1","0","0","0","0","0"
13111010200,13111,"天祖神社貝塚",35.5558112,139.7305748,"0","0","0","0","1","1","0","0","0"
13111010300,13111,"下袋貝塚",35.56139721,139.7354457,"0","0","0","0","1","1","0","0","0"
13111010400,13111,"前方貝塚",35.56634979,139.731695,"0","0","0","0","1","1","0","0","0"
13111010500,13111,"十二天東（線路東側）貝塚",35.56990786,139.7221432,"0","0","0","0","1","0","0","0","0"
13111010600,13111,"大森南古墳",35.56248294,139.7383679,"0","0","0","1","0","0","1","0","0"
13111010700,13111,"八幡塚",35.54401727,139.7135058,"0","0","0","0","0","0","1","0","0"
13111010800,13111,"池上・平塚遺跡",35.59965382,139.6992915,"0","0","0","0","1","1","0","0","0"
13111010900,13111,"亀塚横穴墓群",35.58826255,139.6674304,"0","0","0","1","1","0","0","0","0"
13111011000,13111,"桜橋付近遺跡",35.58633184,139.6744099,"0","1","1","0","0","0","0","1","0"
13111011100,13111,"東馬込一丁目2番横穴墓",35.59992413,139.7139231,"0","0","0","1","1","0","0","0","0"
13111011200,13111,"堤方権現台古墳",35.57649601,139.7073986,"0","0","0","1","0","0","0","0","0"
13111011300,13111,"寺窪遺跡",35.57707194,139.7063686,"0","0","0","0","0","0","1","0","0"
13111011400,13111,"本成院裏遺跡",35.57644365,139.7044589,"0","0","0","0","0","0","1","0","0"
13111011500,13111,"本門寺歴代墓所付近遺跡",35.58080663,139.7040512,"0","0","0","0","0","0","1","0","0"
13111011600,13111,"塚越貝塚",35.58375587,139.7026565,"0","1","0","0","0","0","0","0","0"
13111011700,13111,"梶原塚",35.59407108,139.7098304,"0","0","0","0","0","0","1","0","0"
13111011800,13111,"西馬込二丁目2番横穴墓",35.58684706,139.7055335,"0","0","0","1","1","0","0","0","0"
13111011901,13111,"本門寺旧五重塔跡",35.57844868,139.7053013,"0","0","0","0","0","0","0","1","0"
13111011902,13111,"本門寺旧経蔵跡",35.57911185,139.7047434,"0","0","0","0","0","0","0","1","0"
13111012000,13111,"仲池上一丁目10番横穴墓",35.58685135,139.7008917,"0","0","0","0","0","0","1","0","0"
13111012100,13111,"田園調布四丁目12番横穴墓",35.59356136,139.6626147,"0","0","0","0","0","0","1","0","0"
13111012200,13111,"丸山遺跡",35.58720731,139.6715993,"0","0","1","0","0","0","0","0","0"
13111012300,13111,"西嶺町33番横穴墓",35.58187841,139.6772339,"0","0","0","1","1","0","0","0","0"
13111012400,13111,"本門寺裏横穴墓群",35.58163921,139.7067972,"0","0","0","1","1","0","0","0","0"
13111012500,13111,"新井宿横穴墓群",35.58782117,139.7218012,"0","0","0","1","1","0","0","0","0"
13111012700,13111,"池上氏館跡",35.58029991,139.703487,"0","0","0","0","0","0","1","0","0"
13111012800,13111,"馬込城跡",35.58952412,139.7095363,"0","0","0","0","0","0","1","0","0"
13111012900,13111,"大森堀ノ内遺跡",35.56494478,139.7330972,"0","0","0","0","0","0","1","0","0"
13111013000,13111,"行方氏館跡",35.56503206,139.7239992,"0","0","0","0","0","0","1","0","0"
13111013100,13111,"八幡塚行方氏館跡",35.54410093,139.7129699,"0","0","0","0","0","0","1","0","0"
13111013200,13111,"山王横穴墓群",35.59222927,139.7241028,"0","0","0","1","1","0","0","0","0"
13111013300,13111,"田園調布本町19番横穴墓",35.58523967,139.6749924,"0","0","0","1","1","0","0","0","0"
13111013400,13111,"大森ホテル遺跡",35.58637395,139.7230898,"0","0","1","0","0","0","0","0","0"
13111013500,13111,"桐里遺跡",35.58256971,139.7088204,"0","1","1","0","0","0","0","0","0"
13111013600,13111,"嶺一丁目遺跡",35.57929885,139.6835514,"0","0","1","0","0","0","0","0","0"
13111013700,13111,"上沼部貝塚",35.59661086,139.6602175,"0","1","0","0","0","0","0","0","0"
13111013800,13111,"将軍塚",35.5956925,139.6618158,"0","0","1","0","0","0","0","0","0"
13111013900,13111,"斎藤氏屋敷跡",35.56050941,139.7224016,"0","0","0","0","0","0","1","0","0"
13111014000,13111,"万福寺遺跡",35.59031662,139.7134845,"0","0","0","0","0","0","1","0","0"
13111014100,13111,"馬込北久保遺跡",35.59068839,139.7129745,"0","0","0","0","0","1","0","0","0"
13111014200,13111,"山王四丁目33番横穴墓",35.58554219,139.7214961,"0","0","0","1","0","0","0","0","0"
13111014300,13111,"久原小学校内遺跡",35.58045523,139.6936816,"0","0","1","0","0","0","0","0","0"
